target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1230.0,335.4033210226567,52.17,13079.3,1790200997.5333,1790201007.1819,0.72,1440.0,19,-420
1395,1387.0,371.60309715808785,55.96,12989.1,1790201016.9672,1790201025.6895,0.755,1605.0,17,-420
1545,1537.0,376.24856885315455,59.09,12989.1,1790201035.911,1790201044.5371,0.795,1777.0,18,-420
1702,1695.0,377.2490193123101,63.1,13801.0,1790201054.3178,1790201062.9318,0.84,1935.0,17,-420
1852,1823.5,377.21945700329024,64.13,13801.0,1790201072.678,1790201081.3085,0.84,1935.0,18,-420
2010,2002.0,377.81626695490485,69.57,13801.0,1790201091.026,1790201099.5993,0.885,2085.0,17,-420
2167,2160.0,377.87915325244836,71.38,13376.0,1790201109.4312,1790201118.0369,0.93,2212.0,17,-420
2317,2310.0,377.8966989538436,78.19,13813.5,1790201127.8736,1790201136.4773,0.98,2340.0,17,-420
2475,2452.9,378.1268944107825,84.91,13801.0,1790201146.2486,1790201154.8213,1.025,2430.0,17,-420
2625,2452.5,377.9719286216944,85.66,13801.0,1790201164.6623,1790201173.2249,1.02,2430.0,17,-420
2782,2452.0,377.94087910612285,86.51,13801.0,1790201183.0536,1790201191.6492,1.025,2430.0,17,-420
2932,2453.4,370.8361056488676,85.85,13376.0,1790201201.4727,1790201210.2216,1.0225,2430.0,18,-420
3090,2453.4,356.73686619358455,82.3,13401.0,1790201220.4625,1790201229.5463,1.02,2430.0,18,-420
