target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1230.0,309.2331551994473,50.13,13801.0,1790201266.6583,1790201277.9627,0.725,1455.0,22,-420
1395,1387.0,361.2720287430911,53.46,13079.3,1790201288.4675,1790201298.1509,0.755,1597.0,19,-420
1545,1537.0,387.6674256988588,58.89,13036.8,1790201308.4312,1790201317.4623,0.795,1777.0,18,-420
1702,1695.0,385.97508210290425,63.51,13801.0,1790201327.2639,1790201336.311,0.84,1935.0,18,-420
1852,1830.8,381.7827039617992,62.15,13036.8,1790201346.0664,1790201355.2325,0.84,1935.0,18,-420
2010,2002.0,419.8344162825387,67.47,13814.3,1790201365.4389,1790201373.7687,0.89,2085.0,17,-420
2167,2160.0,419.9464517057927,73.09,13801.0,1790201383.7855,1790201392.1401,0.93,2212.0,16,-420
2317,2310.0,420.0928712628826,81.78,13801.0,1790201402.1234,1790201410.4577,0.98,2340.0,17,-420
2475,2453.0,420.39558198944076,85.29,13347.7,1790201420.4998,1790201428.828,1.02,2430.0,16,-420
2625,2453.5,420.28648161743826,85.98,13801.0,1790201438.8684,1790201447.1932,1.02,2430.0,17,-420
2782,2453.5,420.29210301143,86.74,13801.0,1790201457.276,1790201465.6106,1.025,2430.0,16,-420
2932,2453.5,420.34816618406524,87.27,13801.0,1790201475.702,1790201484.0298,1.025,2430.0,17,-420
3090,2453.1,420.28368123409473,88.78,13801.0,1790201494.0918,1790201502.4267,1.025,2430.0,16,-420
