"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1230","1230","1230","13801","13801","13801","True","-7","none","61.68","10.84","68.39","41.3","42","93.9","54.33","True","1790201539.3745","1790201548.3515","10.905","8.8462","8.9752","0.1289","352681599794.7722","byte/s","True","16","20","0x0000000000000400"
"1395","1387","1387","1387","13801","13801","13801","True","-8","none","66.93","11.57","73.62","41.8","43","94.5","58.18","True","1790201558.3437","1790201566.9226","10.367","8.4426","8.5776","0.1351","369544617176.58984","byte/s","True","16","19","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","72.07","14.4","79.87","42.7","43","96.7","63.01","True","1790201576.7854","1790201585.1644","10.328","8.2273","8.3791","0.1518","379213051075.0397","byte/s","True","15","19","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","79.63","31.19","85.8","43.6","44","95.4","69.83","True","1790201595.1161","1790201603.6211","10.352","8.3673","8.503","0.1357","372869752513.9617","byte/s","True","16","19","0x0000000000000400"
"1852","1823.4","1822","1837","13376","7001","13801","True","-28.6","none","77.68","17.73","86","43.8","45","93.4","68.21","True","1790201613.5277","1790201622.0267","10.317","8.3703","8.5015","0.1312","372733818637.02484","byte/s","True","16","19","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","83.4","19.05","92.04","44.7","46","93.8","73.24","True","1790201631.896","1790201640.4149","10.374","8.3717","8.5211","0.1495","372673699022.59906","byte/s","True","16","19","0x0000000000000400"
"2167","2160","2160","2160","13801","13801","13801","True","-7","none","89.98","23.76","98.33","46.4","47","96.9","79.13","True","1790201650.2814","1790201658.7951","10.313","8.3748","8.5098","0.135","372535372484.1446","byte/s","True","16","19","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","101.22","37.57","109.3","47.9","49","95.4","88.98","True","1790201668.6541","1790201677.1819","10.327","8.3717","8.5309","0.1592","372673872634.83704","byte/s","True","16","19","0x0000000000000400"
"2475","2452.9","2452","2467","13376","7001","13801","True","-22.1","none","106.81","25.82","117.69","49.1","51","93.5","94.03","True","1790201687.0142","1790201695.5218","10.344","8.3734","8.5138","0.1404","372597196225.0178","byte/s","True","16","19","0x0000000000000400"
"2625","2452.1","2445","2460","13376","7001","13801","False","-172.9","below","106.3","26.06","117.77","49.8","51","93.8","93.62","True","1790201705.5071","1790201714.01","10.395","8.3721","8.5036","0.1315","372655862326.048","byte/s","True","16","19","0x0000000000000400"
"2782","2451.6","2445","2460","13801","13801","13801","False","-330.4","below","108.32","30.7","118.11","50.7","52","93.8","95.35","True","1790201723.8693","1790201732.3668","10.34","8.3737","8.5034","0.1297","372584394677.1811","byte/s","True","16","19","0x0000000000000400"
"2932","2449","2445","2460","13801","13801","13801","False","-483","below","109.76","39.45","118.35","51","52","98.9","96.56","True","1790201742.2696","1790201750.7702","10.33","8.3703","8.5053","0.135","372735666655.2809","byte/s","True","16","19","0x0000000000000400"
"3090","2448.1","2445","2452","13801","13801","13801","False","-641.9","below","111.03","50.14","118.6","51.6","53","98","97.7","True","1790201760.6344","1790201769.1543","10.343","8.3741","8.5203","0.1462","372566312933.0364","byte/s","True","16","19","0x0000000000000400"
