target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1230.0,4446.589252524943,63.73,13801.0,1790202898.3605,1790202916.8605,0.72,1455.0,36,-420
1395,1387.0,5017.693182570456,74.87,13801.0,1790202927.1388,1790202943.496,0.755,1612.0,32,-420
1545,1537.0,5552.8666902610785,83.12,13319.9,1790202953.7199,1790202968.5156,0.795,1785.0,30,-420
1702,1695.0,6120.0575360985,99.87,13801.0,1790202978.6386,1790202992.0835,0.84,1942.0,27,-420
1852,1844.7,6565.852092758764,105.69,13801.0,1790203001.9686,1790203014.4905,0.84,1942.0,25,-420
2010,2002.0,7232.226369909155,119.7,13477.2,1790203024.7295,1790203036.0606,0.885,2085.0,23,-420
2167,2160.0,7796.6804188623955,142.78,13801.0,1790203045.868,1790203056.3855,0.93,2212.0,21,-420
2317,2306.2,8305.603188826715,166.74,13801.0,1790203066.4878,1790203076.3674,0.985,2340.0,20,-420
2475,2326.9,8305.462148545028,166.69,13801.0,1790203086.5502,1790203096.4299,0.98,2347.0,20,-420
2625,2321.5,8301.336876851072,165.17,13801.0,1790203106.5929,1790203116.477,0.98,2347.0,20,-420
2782,2316.6,8295.900521437947,165.17,13801.0,1790203126.6125,1790203136.4957,0.98,2347.0,19,-420
2932,2319.0,8294.278887347264,164.15,13812.1,1790203146.676,1790203156.566,0.98,2347.0,19,-420
3090,2314.8,8293.249450667812,164.36,13801.0,1790203166.666,1790203176.5714,0.98,2347.0,20,-420
