"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1230","1230","1230","13801","13801","13801","True","-7","none","51.44","11.52","54.35","46.6","47","95.4","48.32","True","1790203213.8251","1790203232.3278","20.779","18.2126","18.502","0.2894","4637490097877.182","FLOP/s","True","34","38","0x0000000000000400"
"1395","1387","1387","1387","13801","13801","13801","True","-8","none","62.69","17.56","65.98","47.5","48","98.2","58.28","True","1790203242.6189","1790203259.0185","18.493","16.1424","16.4027","0.2603","5232219270352.275","FLOP/s","True","31","34","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","72.5","14.4","76.89","48.6","50","97.5","66.7","True","1790203269.1594","1790203283.9536","16.859","14.5781","14.7946","0.2165","5793665061291.271","FLOP/s","True","28","31","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","86.96","28.1","92.12","50.8","52","98.7","79.86","True","1790203294.0308","1790203307.4759","15.78","13.231","13.4445","0.2135","6383514935420.557","FLOP/s","True","25","29","0x0000000000000400"
"1852","1844.3","1837","1845","13505.3","7001","13801","True","-7.7","none","89.1","18.28","97.41","51.4","53","92.7","81.53","True","1790203317.8742","1790203330.3775","14.689","12.3268","12.5035","0.1767","6851777823621.276","FLOP/s","True","23","27","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","104.94","23.8","113.52","54","55","95.9","94.89","True","1790203340.5929","1790203351.9871","13.658","11.1993","11.3925","0.1932","7541571950488.924","FLOP/s","True","21","25","0x0000000000000400"
"2167","2160","2160","2160","13811","13801","14001","True","-7","none","122.67","22.38","135.59","56.6","59","92.2","109.59","True","1790203362.29","1790203372.8545","12.514","10.3859","10.5603","0.1745","8132258839082.412","FLOP/s","True","20","23","0x0000000000000400"
"2317","2310","2310","2310","13423.2","7001","13801","True","-7","none","146.55","24.83","165.33","60.8","64","90.5","130.65","True","1790203382.845","1790203392.7073","11.983","9.7115","9.8568","0.1453","8696920109638.1875","FLOP/s","True","18","22","0x0000000000000400"
"2475","2393.1","2377","2460","13423.2","7001","13801","False","-81.9","below","164.25","27.27","182.84","64.1","67","91.8","144.69","True","1790203402.8714","1790203412.41","11.45","9.4066","9.5447","0.138","8978819047778.732","FLOP/s","True","18","21","0x0000000000000400"
"2625","2390.6","2362","2460","13423.2","7001","13801","False","-234.4","below","164.14","27.72","182.88","64.9","68","91.6","144.67","True","1790203422.3676","1790203431.9324","11.458","9.4151","9.5645","0.1494","8970764125623.943","FLOP/s","True","18","21","0x0000000000000400"
"2782","2386.1","2362","2460","13423.2","7001","13801","False","-395.9","below","168.11","27.87","183.43","65.2","68","92.9","148.09","True","1790203441.8918","1790203451.4678","11.451","9.4253","9.5685","0.1432","8961003242802.701","FLOP/s","True","18","21","0x0000000000000400"
"2932","2391.9","2370","2460","13423.2","7001","13801","False","-540.1","below","164.35","28.18","182.75","65.6","69","92.1","144.91","True","1790203461.3725","1790203470.9374","11.458","9.4313","9.5678","0.1365","8955327149884.355","FLOP/s","True","18","21","0x0000000000000400"
"3090","2387.3","2362","2460","13423.2","7001","13801","False","-702.7","below","164.73","28.13","183.16","65.6","69","92.4","145.23","True","1790203480.8881","1790203490.4578","11.436","9.4345","9.5653","0.1308","8952352023918.678","FLOP/s","True","18","21","0x0000000000000400"
