target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1230.0,3378.291839297781,35.61,13801.0,1790203527.7989,1790203545.8182,0.72,1440.0,35,-420
1395,1387.0,3813.6515134710376,41.56,13801.0,1790203556.4869,1790203572.4541,0.76,1605.0,31,-420
1545,1537.0,4219.232837005267,47.45,13801.0,1790203583.0167,1790203597.4141,0.795,1777.0,29,-420
1702,1695.0,4646.692072525865,57.33,13801.0,1790203607.9414,1790203621.0198,0.84,1942.0,26,-420
1852,1835.1,4970.006703186798,60.19,13801.0,1790203631.2718,1790203643.5264,0.84,1942.0,24,-420
2010,2002.0,5486.985834219221,68.32,13801.0,1790203654.0134,1790203665.0844,0.885,2085.0,22,-420
2167,2160.0,5913.161740629925,79.7,13801.0,1790203675.5901,1790203685.8823,0.93,2212.0,20,-420
2317,2310.0,6318.116651758667,93.8,13801.0,1790203696.1255,1790203705.7658,0.98,2332.0,19,-420
2475,2452.0,6682.880899885221,107.24,13801.0,1790203716.1083,1790203725.2248,1.02,2422.0,18,-420
2625,2452.0,6683.417580664933,107.62,13801.0,1790203735.6036,1790203744.7323,1.02,2422.0,18,-420
2782,2452.5,6682.375276085093,106.12,13401.0,1790203755.0787,1790203764.1915,1.02,2422.0,19,-420
2932,2452.5,6684.356960842105,104.49,13401.0,1790203774.5353,1790203783.6435,1.02,2422.0,18,-420
3090,2452.0,6683.591329703358,108.91,13801.0,1790203794.0194,1790203803.1345,1.02,2422.0,18,-420
