"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1230","1230","1230","13801","13801","13801","True","-7","none","63.23","24.49","65.43","46.7","47","98.9","57.12","True","1790204156.0004","1790204172.0651","18.532","15.8331","16.0573","0.2242","8333263090183.738","FLOP/s","True","30","34","0x0000000000000400"
"1395","1387","1387","1387","13801","13801","13801","True","-8","none","75.82","52.18","77.82","48.2","49","98.8","68.14","True","1790204182.5214","1790204196.6801","16.905","13.9702","14.1621","0.1919","9444498384697.707","FLOP/s","True","26","31","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","88.89","64.51","91.81","49.9","51","96.8","78.14","True","1790204207.413","1790204220.2348","15.203","12.5869","12.8224","0.2355","10482444048948.332","FLOP/s","True","24","28","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","104.23","60.41","108.63","52.9","54","99.4","91.19","True","1790204230.609","1790204242.1312","14.155","11.3776","11.5251","0.1475","11596607267376.809","FLOP/s","True","21","26","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","112.79","45.25","118.27","54.2","55","99.5","97.31","True","1790204252.771","1790204263.4773","13.108","10.5806","10.7054","0.1248","12470156773377.88","FLOP/s","True","19","24","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","130.26","88.88","134.85","57.1","58","100","110.75","True","1790204273.8905","1790204283.641","11.966","9.5871","9.7477","0.1606","13762362861229.434","FLOP/s","True","18","22","0x0000000000000400"
"2167","2160","2160","2160","13801","13801","13801","True","-7","none","158.16","103.16","165.52","61.5","63","99.6","133.35","True","1790204293.8801","1790204302.9231","11.408","8.8877","9.0446","0.1569","14845436476041.28","FLOP/s","True","16","21","0x0000000000000400"
"2317","2239.9","2227","2287","13801","13801","13801","False","-77.1","below","176.77","131.15","183.39","64.9","66","100","147.71","True","1790204313.2906","1790204322.0192","10.88","8.5866","8.7241","0.1374","15365912955654.371","FLOP/s","True","16","20","0x0000000000000400"
"2475","2243.2","2220","2325","13801","13801","13801","False","-231.8","below","176.8","138.63","182.14","64.9","67","97.9","146.95","True","1790204332.2473","1790204340.9716","10.89","8.5908","8.7237","0.1329","15358456618896.902","FLOP/s","True","16","20","0x0000000000000400"
"2625","2243.2","2220","2355","13801","13801","13801","False","-381.8","below","172","66.06","180.45","65.7","67","97.6","143.14","True","1790204351.2025","1790204359.9359","10.916","8.6017","8.7373","0.1356","15338938159709.76","FLOP/s","True","16","20","0x0000000000000004;0x0000000000000400"
"2782","2239","2220","2317","13801","13801","13801","False","-543","below","170.86","75.38","183.08","66.1","68","100","142.25","True","1790204370.135","1790204378.8796","10.887","8.6065","8.7445","0.138","15330509144254.707","FLOP/s","True","16","20","0x0000000000000400"
"2932","2239.9","2220","2302","13801","13801","13801","False","-692.1","below","172.84","86.84","180.41","66.2","68","99.6","143.84","True","1790204389.086","1790204397.8209","10.945","8.6083","8.7355","0.1272","15327276625475.059","FLOP/s","True","16","20","0x0000000000000400"
"3090","2238.7","2220","2310","13801","13801","13801","False","-851.3","below","171.87","83.97","182.07","66.2","68","99.1","143.08","True","1790204408.0701","1790204416.8214","10.907","8.6101","8.7476","0.1376","15324087828404.021","FLOP/s","True","16","20","0x0000000000000004;0x0000000000000400"
