"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1234.7","1230","1237","13801","13801","13801","True","-2.3","none","52.54","17.76","56.33","43","43","95.1","46.59","True","1790204453.9657","1790204463.7253","11.483","9.6135","9.7601","0.1466","332033638003.3284","byte/s","True","18","21","0x0000000000000400"
"1395","1393.6","1387","1395","13801","13801","13801","True","-1.4","none","53.65","16.37","57.68","42.4","43","96.1","47.68","True","1790204473.5042","1790204482.7915","11.453","9.1555","9.2901","0.1347","348644544937.08844","byte/s","True","17","21","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","54.63","17.67","58.99","41.9","42","94.4","48.27","True","1790204492.9893","1790204501.9537","10.905","8.8153","8.9595","0.1442","362097880774.6302","byte/s","True","16","20","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","58.14","21.94","62.67","41.9","42","94.5","51.18","True","1790204511.9514","1790204520.6447","10.353","8.5407","8.6935","0.1528","373739853012.65875","byte/s","True","16","19","0x0000000000000400"
"1852","1845","1845","1845","12989.1","810","13801","True","-7","none","60.13","13.25","66.1","41.8","42","93.8","52.76","True","1790204530.3486","1790204538.9323","10.345","8.4533","8.5766","0.1234","377605522466.80774","byte/s","True","16","19","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","63.23","13.2","69.58","42.4","43","94.4","55.41","True","1790204548.7401","1790204557.3054","10.387","8.4297","8.562","0.1324","378661566598.2954","byte/s","True","16","19","0x0000000000000400"
"2167","2152.5","2152","2160","13801","13801","13801","True","-14.5","none","64.64","16.07","70.51","42.5","43","96.8","56.72","True","1790204567.1942","1790204575.7575","10.358","8.428","8.5633","0.1353","378736400106.06055","byte/s","True","16","19","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","68.98","24.16","74.46","42.9","43","97.3","60.79","True","1790204585.588","1790204594.1473","10.332","8.4243","8.5607","0.1364","378901654318.73145","byte/s","True","16","19","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","74.86","32.06","79.84","43.6","44","97.2","65.57","True","1790204603.9679","1790204612.5368","10.321","8.4227","8.5714","0.1487","378976938220.2611","byte/s","True","16","19","0x0000000000000400"
"2625","2617","2617","2617","12989.1","810","13801","True","-8","none","78.43","17.03","87.31","44.3","45","91","69.03","True","1790204622.4568","1790204631.0268","10.844","8.4171","8.5742","0.1571","379226990925.14465","byte/s","True","16","20","0x0000000000000400"
"2782","2753.4","2752","2775","13801","13801","13801","True","-28.6","none","85.1","20.64","93.09","45.4","46","96.2","74.61","True","1790204641.2049","1790204649.7728","10.327","8.4175","8.5668","0.1493","379209826039.5576","byte/s","True","16","19","0x0000000000000400"
"2932","2753.4","2752","2775","13801","13801","13801","False","-178.6","below","86.09","28.84","93.08","45.6","46","97.2","75.46","True","1790204659.5935","1790204668.1763","10.344","8.4204","8.5857","0.1653","379079198575.0877","byte/s","True","16","19","0x0000000000000400"
"3090","2752.9","2752","2767","13801","13801","13801","False","-337.1","below","86.85","36.51","93.1","46","47","96.4","76.09","True","1790204677.9901","1790204686.5556","10.352","8.42","8.565","0.145","379096284102.294","byte/s","True","16","19","0x0000000000000400"
