target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1234.7,332.0336380033284,52.54,13801.0,1790204453.9657,1790204463.7253,0.72,1245.0,19,-420
1395,1393.6,348.6445449370884,53.65,13801.0,1790204473.5042,1790204482.7915,0.72,1350.0,18,-420
1545,1537.0,362.0978807746302,54.63,13801.0,1790204492.9893,1790204501.9537,0.72,1462.0,18,-420
1702,1695.0,373.7398530126587,58.14,13801.0,1790204511.9514,1790204520.6447,0.76,1635.0,17,-420
1852,1845.0,377.6055224668077,60.13,12989.1,1790204530.3486,1790204538.9323,0.795,1770.0,17,-420
2010,2002.0,378.6615665982954,63.23,13801.0,1790204548.7401,1790204557.3054,0.84,1935.0,17,-420
2167,2152.5,378.73640010606056,64.64,13801.0,1790204567.1942,1790204575.7575,0.845,1957.0,17,-420
2317,2310.0,378.90165431873146,68.98,13801.0,1790204585.588,1790204594.1473,0.89,2085.0,17,-420
2475,2467.0,378.9769382202611,74.86,13801.0,1790204603.9679,1790204612.5368,0.93,2212.0,17,-420
2625,2617.0,379.22699092514466,78.43,12989.1,1790204622.4568,1790204631.0268,0.98,2340.0,18,-420
2782,2753.4,379.20982603955764,85.1,13801.0,1790204641.2049,1790204649.7728,1.025,2430.0,17,-420
2932,2753.4,379.07919857508773,86.09,13801.0,1790204659.5935,1790204668.1763,1.025,2430.0,17,-420
3090,2752.9,379.096284102294,86.85,13801.0,1790204677.9901,1790204686.5556,1.025,2430.0,17,-420
