target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1233.7,339.0914169724421,60.8,13801.0,1790204997.7356,1790205007.091,0.72,1245.0,18,-420
1395,1392.0,354.24598992636066,61.41,13801.0,1790205017.2836,1790205026.2527,0.72,1320.0,17,-420
1545,1537.0,368.4209612940653,63.66,13801.0,1790205036.2187,1790205044.8342,0.72,1440.0,17,-420
1702,1695.0,371.6579053638995,68.66,13801.0,1790205054.6248,1790205063.1874,0.76,1605.0,17,-420
1852,1845.0,372.7179754167274,74.27,13801.0,1790205073.0123,1790205081.5151,0.795,1770.0,17,-420
2010,2002.0,372.59285330028865,78.01,12989.1,1790205091.3827,1790205099.8893,0.84,1935.0,17,-420
2167,2152.5,372.63151156001067,78.87,13801.0,1790205109.7959,1790205118.3057,0.845,1957.0,17,-420
2317,2310.0,372.6048010367354,84.5,13801.0,1790205128.1814,1790205136.699,0.89,2085.0,17,-420
2475,2467.0,372.67443353751736,91.83,13801.0,1790205146.5389,1790205155.0396,0.93,2212.0,17,-420
2625,2617.0,372.45901983786814,101.67,12989.1,1790205164.9418,1790205173.4477,0.98,2340.0,17,-420
2782,2753.4,372.57566058457064,105.71,12989.1,1790205183.3427,1790205191.8555,1.02,2430.0,17,-420
2932,2752.1,372.5916696929323,107.41,13801.0,1790205201.78,1790205210.3086,1.02,2422.0,17,-420
3090,2750.3,372.5206403195399,108.98,13801.0,1790205220.1349,1790205228.6518,1.02,2422.0,17,-420
