"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.9","1230","1237","13801","13801","13801","True","-1.1","none","57.37","18.23","61.58","41.7","42","96.3","50.96","True","1790205265.5884","1790205275.7948","11.982","10.055","10.2012","0.1462","190585512862.56284","FLOP/s","True","19","22","0x0000000000000400"
"1395","1392.8","1387","1395","13801","13801","13801","True","-2.2","none","58.46","14.94","63.58","41.6","42","97.4","51.65","True","1790205285.6664","1790205295.3506","11.421","9.5361","9.6844","0.1483","200955840073.90372","FLOP/s","True","18","21","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","60.71","17.23","65.56","41.4","42","96.2","53.77","True","1790205305.1298","1790205314.4381","11.445","9.1589","9.3144","0.1555","209232894895.81348","FLOP/s","True","17","21","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","65.11","18.42","70.76","41.8","42","97.4","57.17","True","1790205324.6397","1790205333.6529","10.905","8.8616","9.0133","0.1517","216252036199.43777","FLOP/s","True","17","20","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","69.06","21.51","74.7","42.4","43","95.6","60.67","True","1790205343.589","1790205352.4329","10.898","8.6963","8.8421","0.1457","220362162015.14423","FLOP/s","True","16","20","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","75.4","26.71","81.69","43.1","44","95.5","66.45","True","1790205362.5511","1790205371.2556","10.889","8.5634","8.7003","0.1369","223781706817.15436","FLOP/s","True","16","20","0x0000000000000400"
"2167","2152.5","2152","2160","12989.1","810","13801","True","-14.5","none","76.64","14.35","83.39","43.3","44","92.8","66.79","True","1790205381.498","1790205390.1447","10.345","8.4932","8.6484","0.1552","225631437619.28458","FLOP/s","True","16","19","0x0000000000000400"
"2317","2310","2310","2310","12989.1","810","13801","True","-7","none","78.52","13.67","88.95","44.2","45","93.8","68.35","True","1790205399.9553","1790205408.5036","10.363","8.4136","8.548","0.1345","227767653500.44232","FLOP/s","True","16","19","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","86.7","15.31","95.56","45.4","46","93.9","75.86","True","1790205418.2819","1790205426.7631","10.359","8.3505","8.4756","0.1251","229488514713.48322","FLOP/s","True","16","19","0x0000000000000400"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","95.26","20.82","105.57","46.7","48","96.6","83.42","True","1790205436.6899","1790205445.1235","10.344","8.2984","8.428","0.1296","230928883446.7562","FLOP/s","True","15","19","0x0000000000000400"
"2782","2753.5","2752","2775","13801","13801","13801","True","-28.5","none","105.91","44.56","114.19","48.7","50","95.8","92.98","True","1790205455.0687","1790205463.4907","10.375","8.2656","8.4193","0.1537","231845224622.47495","FLOP/s","True","15","19","0x0000000000000400"
"2932","2753.5","2752","2775","12934.9","810","13801","False","-178.5","below","104.93","18.72","114.56","48.8","50","90.2","91.72","True","1790205473.5018","1790205481.9147","10.379","8.2667","8.4124","0.1457","231813793954.5402","FLOP/s","True","15","19","0x0000000000000400"
"3090","2754.1","2752","2775","12934.9","810","13801","False","-335.9","below","102.74","18.7","114.43","49.1","50","93.3","89.99","True","1790205491.924","1790205500.3283","10.372","8.2642","8.4091","0.1449","231884702417.47156","FLOP/s","True","15","19","0x0000000000000400"
