target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.9,190.58551286256284,57.37,13801.0,1790205265.5884,1790205275.7948,0.72,1245.0,20,-420
1395,1392.8,200.95584007390372,58.46,13801.0,1790205285.6664,1790205295.3506,0.72,1342.0,19,-420
1545,1537.0,209.23289489581347,60.71,13801.0,1790205305.1298,1790205314.4381,0.72,1462.0,18,-420
1702,1695.0,216.25203619943778,65.11,13801.0,1790205324.6397,1790205333.6529,0.76,1635.0,18,-420
1852,1845.0,220.36216201514424,69.06,13801.0,1790205343.589,1790205352.4329,0.795,1770.0,18,-420
2010,2002.0,223.78170681715434,75.4,13801.0,1790205362.5511,1790205371.2556,0.84,1935.0,17,-420
2167,2152.5,225.63143761928458,76.64,12989.1,1790205381.498,1790205390.1447,0.845,1957.0,18,-420
2317,2310.0,227.76765350044232,78.52,12989.1,1790205399.9553,1790205408.5036,0.885,2085.0,17,-420
2475,2467.0,229.48851471348323,86.7,13801.0,1790205418.2819,1790205426.7631,0.93,2212.0,17,-420
2625,2617.0,230.9288834467562,95.26,13801.0,1790205436.6899,1790205445.1235,0.98,2340.0,17,-420
2782,2753.5,231.84522462247494,105.91,13801.0,1790205455.0687,1790205463.4907,1.02,2430.0,17,-420
2932,2753.5,231.8137939545402,104.93,12934.9,1790205473.5018,1790205481.9147,1.02,2430.0,17,-420
3090,2754.1,231.88470241747154,102.74,12934.9,1790205491.924,1790205500.3283,1.02,2430.0,17,-420
