"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1233.7","1230","1237","13801","13801","13801","True","-3.3","none","77.27","11.22","85.39","45.9","47","96.3","68.04","True","1790205805.8634","1790205815.2322","11.4","9.2399","9.3704","0.1306","3686267615191.5835","FLOP/s","True","17","21","0x0000000000000400"
"1395","1391.5","1387","1395","13801","13801","13801","True","-3.5","none","79.5","11.74","88.1","46.1","47","95.4","69.58","True","1790205825.3275","1790205834.2988","10.938","8.8208","8.9679","0.1471","3861425828101.42","FLOP/s","True","16","20","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","81.94","12.06","91.44","46.2","47","95.5","71.68","True","1790205844.3242","1790205852.9749","10.892","8.4693","8.645","0.1756","4021652996128.6787","FLOP/s","True","16","20","0x0000000000000004;0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","89.65","18.38","98.42","47.4","48","95.5","77.45","True","1790205863.2571","1790205871.6903","10.359","8.2807","8.4363","0.1556","4113262285080.1504","FLOP/s","True","16","19","0x0000000000000004;0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","98.07","28.44","106.93","48.4","50","94.6","84.79","True","1790205881.6748","1790205890.1582","10.389","8.3398","8.4898","0.15","4084134528715.2524","FLOP/s","True","16","19","0x0000000000000400"
"2010","2002","2002","2002","12989.1","810","13801","True","-8","none","105.59","13.04","115.94","49.4","51","91.4","91.17","True","1790205900.1117","1790205908.6172","10.358","8.3526","8.5048","0.1523","4077868807689.069","FLOP/s","True","16","19","0x0000000000000400"
"2167","2148","2130","2160","12989.1","810","13801","True","-19","none","104.59","13.36","117.05","50.1","52","93.8","90.21","True","1790205918.5152","1790205927.0204","10.384","8.359","8.5088","0.1498","4074758798930.3394","FLOP/s","True","16","19","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","109.9","14.37","124.24","51.2","53","93.9","94.84","True","1790205936.9514","1790205945.4641","10.348","8.3662","8.5131","0.1469","4071249681990.744","FLOP/s","True","16","19","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","122.7","17.53","136.02","52.9","55","95.1","106.23","True","1790205955.3386","1790205963.8461","10.343","8.3719","8.5116","0.1397","4068453511457.206","FLOP/s","True","16","19","0x0000000000000400"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","137.35","28.86","150.97","55.4","57","95.4","118.73","True","1790205973.7478","1790205982.2542","10.328","8.3785","8.5093","0.1309","4065271716175.765","FLOP/s","True","16","19","0x0000000000000400"
"2782","2744.5","2730","2760","12989.1","810","13801","False","-37.5","below","149.31","19.39","163.99","57.2","60","90.2","128.82","True","1790205992.1082","1790206000.6166","10.329","8.3796","8.5065","0.1269","4064730590360.723","FLOP/s","True","16","19","0x0000000000000400"
"2932","2741.2","2730","2760","12989.1","810","13801","False","-190.8","below","145.97","22.63","164.59","57.9","60","93.8","126.73","True","1790206010.5002","1790206019.0072","10.296","8.379","8.5129","0.1338","4064987114746.088","FLOP/s","True","16","19","0x0000000000000400"
"3090","2740.2","2730","2760","13801","13801","13801","False","-349.8","below","148.79","21.07","165.08","58.6","61","94.9","128.46","True","1790206028.8398","1790206037.3437","10.328","8.3788","8.5096","0.1309","4065119415971.878","FLOP/s","True","16","19","0x0000000000000400"
