target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.4,4450.434918081808,61.85,13418.9,1790206359.5775,1790206378.0464,0.72,1252.0,37,-420
1395,1392.9,5017.545423173207,68.33,13801.0,1790206388.4133,1790206404.7795,0.72,1335.0,32,-420
1545,1537.0,5543.502903772272,72.96,13801.0,1790206414.9862,1790206429.7973,0.72,1455.0,29,-420
1702,1695.0,6116.1457086716055,83.7,13801.0,1790206439.8741,1790206453.3235,0.755,1612.0,27,-420
1852,1845.0,6654.06665753037,96.14,13236.2,1790206463.1508,1790206475.4867,0.795,1792.0,25,-420
2010,2002.0,7223.00505492514,112.51,13801.0,1790206485.3815,1790206496.765,0.84,1942.0,23,-420
2167,2160.0,7699.855710809044,115.87,13151.4,1790206507.0605,1790206517.7484,0.84,1942.0,22,-420
2317,2310.0,8336.02971224034,131.98,13079.3,1790206527.6494,1790206537.4836,0.885,2085.0,20,-420
2475,2467.0,8903.260728028325,159.45,13036.8,1790206547.6812,1790206556.9071,0.935,2227.0,18,-420
2625,2518.4,9050.790212893544,167.94,13036.8,1790206567.176,1790206576.2487,0.9475,2272.0,18,-420
2782,2543.6,9048.357033314493,163.9,13036.8,1790206586.1344,1790206595.2105,0.945,2272.0,18,-420
2932,2539.2,9035.75508515121,162.5,13036.8,1790206605.0923,1790206614.169,0.945,2272.0,18,-420
3090,2528.1,9034.042850872365,164.72,13801.0,1790206624.0329,1790206633.1079,0.945,2272.0,18,-420
