"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.2","1230","1237","13801","13801","13801","True","-0.8","none","44.04","34.3","44.83","43","43","99.9","40.67","True","1790207290.9464","1790207309.3028","20.718","18.0783","18.3563","0.278","2865427346057.4688","FLOP/s","True","34","38","0x0000000000000400"
"1395","1392.9","1387","1395","13801","13801","13801","True","-2.1","none","46.55","25.38","48","43.4","44","98.6","42.37","True","1790207319.6475","1790207335.9056","18.551","16.0309","16.2579","0.227","3231400419800.007","FLOP/s","True","30","34","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","50.15","22.54","51.79","43.7","44","97.6","45.15","True","1790207346.2025","1790207360.9375","17.421","14.5077","14.7327","0.225","3570674088360.714","FLOP/s","True","27","32","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","60.48","29.46","63.1","45.1","46","97.7","53.83","True","1790207371.6172","1790207384.9754","15.781","13.1487","13.3633","0.2146","3939721330515.567","FLOP/s","True","24","29","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","70.58","43.74","73.11","46.8","48","95.7","62.02","True","1790207395.4071","1790207407.6917","14.717","12.0913","12.2846","0.1934","4284260698116.195","FLOP/s","True","22","27","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","85.04","63.84","87.2","49","50","100","74.16","True","1790207418.1377","1790207429.4675","13.589","11.1447","11.33","0.1852","4648124855825.334","FLOP/s","True","21","25","0x0000000000000400"
"2167","2160","2160","2160","13801","13801","13801","True","-7","none","90.84","62","93.71","50.1","51","99.3","78.4","True","1790207439.7558","1790207450.2902","13.01","10.3568","10.532","0.1752","5001753672634.202","FLOP/s","True","19","24","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","101.37","59.05","105.47","52.1","53","100","85.65","True","1790207460.7984","1790207470.5765","11.958","9.6567","9.7838","0.1271","5364387043770.59","FLOP/s","True","18","22","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","118.37","68.41","123.93","55.1","56","99.4","99.22","True","1790207480.7687","1790207489.9439","11.484","9.042","9.1671","0.1251","5729088746402.7705","FLOP/s","True","16","21","0x0000000000000400"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","146.54","87.18","155.18","60.1","62","100","121.83","True","1790207500.2648","1790207508.9009","10.87","8.5277","8.6352","0.1075","6074605843587.768","FLOP/s","True","15","20","0x0000000000000400"
"2782","2704.8","2700","2715","13801","13801","13801","False","-77.2","below","162.46","99.88","170.18","63.2","65","100","134.95","True","1790207519.1912","1790207527.5612","10.887","8.2642","8.3687","0.1045","6268224055365.765","FLOP/s","True","15","20","0x0000000000000400"
"2932","2703.7","2700","2707","13801","13801","13801","False","-228.3","below","163.5","110.56","171.17","64.1","66","100","136.55","True","1790207538.1172","1790207546.4964","10.843","8.2624","8.3787","0.1163","6269614193420.998","FLOP/s","True","15","20","0x0000000000000400"
"3090","2707.8","2700","2760","13801","13801","13801","False","-382.2","below","160.75","60.02","171.97","64.4","66","98.1","131","True","1790207557.0209","1790207565.3818","10.373","8.2624","8.3652","0.1028","6269588849216.683","FLOP/s","True","15","19","0x0000000000000400"
