target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.4,291.22076939171075,48.42,15119.6,1790096346.3593,1790096358.3757,0.725,1230.0,24,-420
1395,1393.5,310.3219486596906,51.49,15801.0,1790096368.4854,1790096379.7757,0.72,1312.0,22,-420
1545,1543.5,314.8734391171203,50.94,15087.1,1790096389.7472,1790096400.8383,0.72,1342.0,22,-420
1702,1695.6,312.5715742618298,51.19,15087.1,1790096410.8897,1790096422.0819,0.72,1342.0,22,-420
1852,1850.6,310.7947938839876,52.02,15801.0,1790096432.088,1790096443.3679,0.72,1350.0,22,-420
2010,2002.0,330.1518986322259,52.79,15811.0,1790096453.2235,1790096463.8369,0.72,1440.0,21,-420
2167,2160.0,371.4680442997032,57.68,14919.2,1790096473.7652,1790096483.1733,0.755,1612.0,18,-420
2317,2310.0,412.5496550945946,63.83,15801.0,1790096493.1739,1790096501.6712,0.795,1785.0,17,-420
2475,2467.0,459.3844091519873,69.39,15801.0,1790096511.6699,1790096519.2751,0.84,1942.0,15,-420
2625,2613.4,458.2076017572506,71.74,15801.0,1790096529.4539,1790096537.0826,0.84,1935.0,15,-420
2782,2775.0,480.98591050653414,76.58,14647.8,1790096547.3415,1790096554.6237,0.885,2085.0,14,-420
2932,2925.0,481.8158110208247,81.94,15801.0,1790096564.6186,1790096571.8812,0.92,2190.0,14,-420
3090,2940.0,481.5743554999812,83.99,15801.0,1790096582.0303,1790096589.287,0.92,2190.0,15,-420
