target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1234.5,348.9052241552144,62.89,14919.2,1790096626.4144,1790096635.5217,0.72,1245.0,19,-420
1395,1392.0,373.5465779681256,65.33,14864.1,1790096645.8454,1790096654.3551,0.72,1320.0,17,-420
1545,1537.0,382.19173613089794,65.58,15814.3,1790096664.2515,1790096672.5593,0.72,1342.0,16,-420
1702,1694.5,380.3480688639447,66.51,15801.0,1790096682.7091,1790096691.0833,0.72,1342.0,17,-420
1852,1843.5,378.972912162847,67.13,15801.0,1790096701.0835,1790096709.4529,0.72,1342.0,16,-420
2010,2002.0,396.47418396883813,70.69,15801.0,1790096719.4182,1790096727.4023,0.72,1451.0,16,-420
2167,2160.0,413.04423874320224,70.71,14730.2,1790096737.4184,1790096745.0784,0.755,1605.0,15,-420
2317,2310.0,421.4096056354455,79.28,15801.0,1790096755.22,1790096762.7415,0.795,1770.0,15,-420
2475,2467.0,423.9874555760163,87.41,15801.0,1790096772.5743,1790096780.0292,0.84,1935.0,15,-420
2625,2588.7,424.05356043419505,83.55,14730.2,1790096789.8928,1790096797.362,0.84,1935.0,15,-420
2782,2775.0,425.33078854324367,91.61,15801.0,1790096807.105,1790096814.5452,0.885,2085.0,14,-420
2932,2922.7,425.24109961855044,101.03,15801.0,1790096824.4357,1790096831.9014,0.92,2190.0,15,-420
3090,2933.1,425.15226540489056,97.04,15815.3,1790096841.7616,1790096849.216,0.92,2190.0,15,-420
