target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1234.9,1860.3134928096645,73.86,15801.0,1790097151.8026,1790097161.1412,0.72,1245.0,18,-420
1395,1393.0,2000.0851382379603,77.04,15801.0,1790097171.308,1790097180.0055,0.72,1320.0,17,-420
1545,1537.0,2036.9033709541945,77.94,15801.0,1790097190.3221,1790097198.8545,0.72,1342.0,17,-420
1702,1694.1,2031.0845112893062,79.12,15801.0,1790097208.7327,1790097217.2888,0.72,1342.0,17,-420
1852,1843.6,2029.7121187558332,79.76,15801.0,1790097227.206,1790097235.7964,0.72,1342.0,17,-420
2010,2002.0,2136.765082063402,83.89,15801.0,1790097246.0474,1790097254.15,0.72,1451.0,16,-420
2167,2160.0,2260.04473909274,86.99,14730.2,1790097264.4422,1790097272.1136,0.755,1612.0,15,-420
2317,2310.0,2328.1550837851414,96.46,15801.0,1790097282.3314,1790097289.7986,0.795,1785.0,15,-420
2475,2467.0,2347.3690881070493,108.65,15801.0,1790097300.1368,1790097307.5424,0.84,1942.0,15,-420
2625,2596.1,2347.0021818223927,105.93,14730.2,1790097317.3911,1790097324.7767,0.84,1942.0,14,-420
2782,2775.0,2350.2424415765067,114.66,15801.0,1790097334.7844,1790097342.172,0.885,2085.0,15,-420
2932,2919.9,2349.945199202543,126.87,15801.0,1790097352.0197,1790097359.3882,0.92,2190.0,15,-420
3090,2933.1,2350.1290176448215,124.69,15801.0,1790097369.3401,1790097376.7477,0.92,2190.0,14,-420
