"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236","1230","1237","15808.1","15801","16001","True","-1","none","67.29","10.32","72.67","44.2","45","93.8","61.92","True","1790097674.9611","1790097690.1683","17.461","14.9612","15.2094","0.2482","4220907001850.3564","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000000"
"1395","1392.8","1387","1395","15201.4","810","15801","True","-2.2","none","73.33","11.17","79.79","45.1","46","94.5","67.23","True","1790097700.5303","1790097713.9963","15.805","13.2709","13.4617","0.1909","4758532598376.593","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","15149.2","810","15801","True","-8","none","78.47","11.35","86.01","45.7","47","93","70.93","True","1790097724.4897","1790097736.6527","14.185","11.9817","12.1605","0.1789","5270542372999.243","FLOP/s","True","23","26","0x0000000000000001;0x0000000000000000"
"1702","1694.6","1687","1695","15087.1","810","15801","True","-7.4","none","82.67","11.43","91.08","46.1","47","90.9","73.92","True","1790097746.6309","1790097757.672","13.086","10.8651","11.0423","0.1772","5812174547320.724","FLOP/s","True","21","24","0x0000000000000001;0x0000000000000000"
"1852","1844.6","1837","1845","15801","15801","15801","True","-7.4","none","88.26","13.9","96.24","47.2","48","96.3","78.76","True","1790097767.7686","1790097777.8806","12.484","9.9825","10.1123","0.1299","6326081779703.498","FLOP/s","True","19","23","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","15801","15801","15801","True","-8","none","92.86","19.86","101.72","48.1","49","97.1","81.6","True","1790097788.2007","1790097797.5534","11.485","9.2137","9.3514","0.1377","6853911961252.925","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","15801","15801","15801","True","-7","none","106.88","20.94","117.76","49.8","51","95.6","93.12","True","1790097807.7146","1790097816.3993","10.919","8.5343","8.6808","0.1464","7399496044459.44","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","15801","15801","15801","True","-7","none","117.93","13.3","132.36","51.8","54","95.1","102.42","True","1790097826.8145","1790097834.9338","10.381","7.9997","8.1148","0.1151","7894045685296.528","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","15801","15801","15801","True","-8","none","137.59","23.94","154.67","54.6","57","94.8","118.38","True","1790097845.2164","1790097852.8236","9.769","7.5034","7.6078","0.1043","8416138022389.761","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2625","2608.2","2602","2610","15801","15801","15801","True","-16.8","none","137.67","14.34","160.64","55.2","58","92.2","117.23","True","1790097862.9375","1790097870.2295","9.272","7.1991","7.2983","0.0992","8771898595011.147","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2782","2662.4","2587","2775","15801","15801","15801","False","-119.6","below","145.13","17.95","166.23","56.6","60","93.6","122.74","True","1790097880.3717","1790097887.5637","9.234","7.0822","7.1932","0.111","8916696141767.754","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2932","2676.2","2580","2925","14647.8","810","15801","False","-255.8","below","141.96","15.59","169.34","56.7","59","87.9","121.35","True","1790097897.6063","1790097904.8267","9.265","7.1051","7.2166","0.1116","8887986214697.154","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"3090","2691.7","2580","2940","15801","15801","15801","False","-398.3","below","144.47","15.72","163.94","57.3","61","92.8","121.75","True","1790097914.9026","1790097922.1373","9.22","7.1193","7.2399","0.1206","8870235833696.434","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000004;0x0000000000000000"
