"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236","1230","1237","15360.1","810","15801","True","-1","none","62.57","10.58","66.57","44.8","46","95.9","58.57","True","1790097959.2198","1790097977.702","20.703","18.1647","18.4767","0.312","4448100656112.1875","FLOP/s","True","34","38","0x0000000000000001;0x0000000000000000"
"1395","1393.7","1387","1395","15801","15801","15801","True","-1.3","none","68.57","11.98","73.15","45.5","46","95.8","63.73","True","1790097987.8803","1790098004.2641","18.515","16.1085","16.3834","0.275","5015881845589.369","FLOP/s","True","30","34","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","15245.8","810","15801","True","-8","none","72.27","11.28","78.49","46.1","47","95.1","66.65","True","1790098014.5445","1790098029.3585","16.936","14.5527","14.8139","0.2612","5552108168865.469","FLOP/s","True","27","31","0x0000000000000001;0x0000000000000000"
"1702","1694.7","1687","1695","15201.4","810","15801","True","-7.3","none","77.25","11.39","84.36","46.5","48","92.7","70.77","True","1790098039.5415","1790098052.9801","15.839","13.2051","13.4402","0.2351","6118711829361.404","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","15801","15801","15801","True","-7","none","81.29","11.73","88.87","47.3","48","94.3","73.36","True","1790098063.4539","1790098075.7611","14.232","12.1249","12.3047","0.1798","6663814529780.794","FLOP/s","True","23","26","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","15087.1","810","15801","True","-8","none","84.98","13.67","93.46","48","49","92.3","76.77","True","1790098085.6409","1790098097.0036","13.623","11.1903","11.3592","0.1689","7220379282949.764","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","15801","15801","15801","True","-7","none","101.25","18.8","109.9","50.2","52","96.6","90.02","True","1790098107.2536","1790098117.8094","12.506","10.364","10.5597","0.1957","7796048048133.696","FLOP/s","True","20","23","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","15801","15801","15801","True","-7","none","112.75","15.85","124.54","52.2","54","95.8","100.25","True","1790098127.8741","1790098137.7304","12.014","9.7117","9.8584","0.1467","8319679448427.53","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","15801","15801","15801","True","-8","none","129.49","18.57","144.47","55.2","57","95.5","114.15","True","1790098147.8321","1790098157.0875","11.467","9.0876","9.2513","0.1637","8891054927277.008","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2625","2615.7","2610","2617","15801","15801","15801","True","-9.3","none","134.86","16.94","151.16","56.3","58","94.5","117.96","True","1790098167.3818","1790098176.1825","10.891","8.6598","8.7979","0.1381","9330268326507.809","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","15801","15801","15801","True","-7","none","157.1","32.6","174.49","59.3","62","94.7","136.47","True","1790098186.3059","1790098194.5016","10.375","8.0783","8.1948","0.1165","10001875936815.611","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2932","2842.2","2820","2917","15801","15801","15801","False","-89.8","below","165.57","47.59","182.72","60.8","63","96.4","142.6","True","1790098204.7379","1790098212.7678","10.344","7.9193","8.0343","0.115","10202728015968.527","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"3090","2844.3","2820","2940","14801.6","810","15801","False","-245.7","below","160.13","15.76","183.03","60.9","63","87.8","136.17","True","1790098223.1202","1790098231.1774","9.812","7.9205","8.0578","0.1373","10201191385717.969","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
