"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.1","1230","1237","15801","15801","15801","True","-1.9","none","35.8","25.65","36.51","41.9","42","97.9","33.19","True","1790098578.4261","1790098596.437","20.696","17.7598","18.0117","0.2519","3377241115632.1396","FLOP/s","True","33","38","0x0000000000000001;0x0000000000000000"
"1395","1393.6","1387","1395","15801","15801","15801","True","-1.4","none","39.1","33.42","39.79","41","41","97.9","35.74","True","1790098607.1518","1790098623.187","18.548","15.7668","16.0332","0.2664","3804147930579.874","FLOP/s","True","29","34","0x0000000000000001;0x0000000000000000"
"1545","1543.5","1537","1545","15801","15801","15801","True","-1.5","none","40.93","27.13","41.85","40.9","41","100","37.1","True","1790098633.7946","1790098648.2372","16.84","14.2578","14.4398","0.182","4206755533464.493","FLOP/s","True","27","31","0x0000000000000001;0x0000000000000000"
"1702","1699.4","1695","1702","15801","15801","15801","True","-2.6","none","42.71","34.64","43.49","41","41","99.9","38.12","True","1790098658.5364","1790098671.6568","15.249","12.9634","13.1211","0.1577","4626814633940.119","FLOP/s","True","24","28","0x0000000000000001;0x0000000000000000"
"1852","1846.9","1845","1852","15801","15801","15801","True","-5.1","none","44.42","26.73","45.93","40.9","41","98.2","39.52","True","1790098681.7975","1790098693.9101","14.734","11.9377","12.1059","0.1682","5024350515376.627","FLOP/s","True","22","27","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","15801","15801","15801","True","-8","none","47.22","34.77","48.5","42","43","98.3","41.71","True","1790098704.5576","1790098715.7112","13.656","11.0182","11.1488","0.1306","5443673997499.202","FLOP/s","True","20","25","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","15801","15801","15801","True","-7","none","54.34","29.01","56.7","44.7","46","99.9","46.93","True","1790098726.3063","1790098736.6547","12.517","10.2023","10.3485","0.1462","5878995856837.03","FLOP/s","True","19","23","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","15801","15801","15801","True","-7","none","63.47","32.95","66.46","47.5","48","99.2","54.25","True","1790098746.7876","1790098756.4814","12.008","9.5443","9.6973","0.153","6284302983148.121","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","15801","15801","15801","True","-8","none","71.87","36.2","75.71","50","51","100","60.7","True","1790098766.7775","1790098775.8657","11.412","8.9396","9.0849","0.1453","6709400927103.96","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"2625","2610","2610","2610","15801","15801","15801","True","-15","none","75.59","33.78","80.2","51.9","53","100","63.28","True","1790098786.3348","1790098795.0132","10.931","8.535","8.6763","0.1413","7027481535442.34","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","15801","15801","15801","True","-7","none","83.68","14.52","92.65","51.9","54","91.9","73.41","True","1790098805.182","1790098813.2336","10.314","7.959","8.0561","0.0971","7536034826613.663","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","15801","15801","15801","True","-7","none","96.28","25.61","105.02","53.8","55","97.7","82.87","True","1790098823.5239","1790098831.2054","9.802","7.5693","7.6813","0.112","7924005483551.272","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
"3090","2940","2940","2940","15801","15801","15801","False","-150","below","101.62","67.84","105.41","53.7","55","100","82.95","True","1790098841.5039","1790098849.1372","9.784","7.5377","7.633","0.0954","7957282063834.207","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
