target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.1,3377.2411156321396,35.8,15801.0,1790098578.4261,1790098596.437,0.72,1245.0,35,-420
1395,1393.6,3804.147930579874,39.1,15801.0,1790098607.1518,1790098623.187,0.72,1320.0,31,-420
1545,1543.5,4206.755533464493,40.93,15801.0,1790098633.7946,1790098648.2372,0.72,1350.0,29,-420
1702,1699.4,4626.814633940119,42.71,15801.0,1790098658.5364,1790098671.6568,0.72,1350.0,26,-420
1852,1846.9,5024.350515376627,44.42,15801.0,1790098681.7975,1790098693.9101,0.72,1342.0,24,-420
2010,2002.0,5443.673997499202,47.22,15801.0,1790098704.5576,1790098715.7112,0.7224999999999999,1470.0,22,-420
2167,2160.0,5878.99585683703,54.34,15801.0,1790098726.3063,1790098736.6547,0.755,1605.0,20,-420
2317,2310.0,6284.302983148121,63.47,15801.0,1790098746.7876,1790098756.4814,0.795,1785.0,19,-420
2475,2467.0,6709.40092710396,71.87,15801.0,1790098766.7775,1790098775.8657,0.84,1942.0,18,-420
2625,2610.0,7027.48153544234,75.59,15801.0,1790098786.3348,1790098795.0132,0.84,1942.0,17,-420
2782,2775.0,7536.034826613663,83.68,15801.0,1790098805.182,1790098813.2336,0.8875,2085.0,16,-420
2932,2925.0,7924.005483551273,96.28,15801.0,1790098823.5239,1790098831.2054,0.92,2190.0,16,-420
3090,2940.0,7957.282063834207,101.62,15801.0,1790098841.5039,1790098849.1372,0.92,2190.0,15,-420
