"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.4","1230","1237","15801","15801","15801","True","-0.6","none","43.69","21.95","45.13","41.9","42","98.9","40.3","True","1790098886.6821","1790098905.0441","21.219","18.1077","18.3624","0.2547","2860781200939.0537","FLOP/s","True","34","39","0x0000000000000001;0x0000000000000000"
"1395","1393.1","1387","1395","15801","15801","15801","True","-1.9","none","47.27","31.06","48.43","42.2","43","98.3","43.15","True","1790098915.8398","1790098932.1357","19.093","16.0518","16.2964","0.2446","3227188430833.2183","FLOP/s","True","30","35","0x0000000000000001;0x0000000000000000"
"1545","1541.7","1537","1545","15801","15801","15801","True","-3.3","none","49.91","29.25","51.61","42.5","43","98.1","45.1","True","1790098942.9234","1790098957.6379","17.438","14.4926","14.7181","0.2255","3574380388990.8296","FLOP/s","True","27","32","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1702","1697.5","1695","1702","15801","15801","15801","True","-4.5","none","54.02","28.18","56.17","43","44","97.5","48.07","True","1790098968.4519","1790098981.8382","15.752","13.1534","13.3867","0.2333","3938321244121.6475","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1852","1845.3","1845","1852","15801","15801","15801","True","-6.7","none","59.33","41.84","61.01","43.7","44","99.3","52.2","True","1790098992.1106","1790099004.4098","14.781","12.0954","12.2942","0.1988","4282808202487.1304","FLOP/s","True","22","27","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","15801","15801","15801","True","-8","none","62.85","33.46","65.54","44.6","46","100","54.63","True","1790099014.9101","1790099026.2478","13.628","11.1715","11.3375","0.166","4636970776229.667","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","15801","15801","15801","True","-7","none","73.33","60.43","75.24","47.7","49","98","63.08","True","1790099036.5653","1790099047.1009","13.062","10.337","10.5362","0.1992","5011315521585.323","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","15801","15801","15801","True","-7","none","86.35","62.99","89.41","51.2","52","99.1","73.6","True","1790099057.6566","1790099067.474","12.04","9.6788","9.8236","0.1448","5352108702501.759","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","15801","15801","15801","True","-8","none","102.01","64.85","106.2","54.5","55","98.4","85.6","True","1790099077.7265","1790099086.9214","11.452","9.0542","9.1967","0.1426","5721366694164.705","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"2625","2616.6","2610","2617","15801","15801","15801","True","-8.4","none","103.92","52.66","110.1","54.1","55","91.9","86.82","True","1790099097.3246","1790099106.1063","11.425","8.6346","8.7846","0.15","5999360344941.168","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","15801","15801","15801","True","-7","none","118.02","57.47","125.07","56","57","98.2","96.18","True","1790099116.8211","1790099124.9753","10.368","8.0564","8.1598","0.1034","6429908913172.179","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2932","2919","2910","2925","15801","15801","15801","True","-13","none","136.97","95.5","143.29","58.6","60","100","111.88","True","1790099135.0437","1790099142.856","9.777","7.68","7.8093","0.1293","6745050743664.903","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"3090","2915.8","2910","2947","15801","15801","15801","False","-174.2","below","132.86","53.6","143.14","58.4","60","97.4","106.9","True","1790099152.9099","1790099160.7195","9.797","7.6959","7.8064","0.1105","6731126466654.203","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000004;0x0000000000000000"
