target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.8,8364.996619776492,60.4,15801.0,1790099198.3056,1790099214.2697,0.72,1245.0,32,-420
1395,1387.0,9467.049382821155,67.82,15801.0,1790099224.9244,1790099239.0841,0.72,1312.0,28,-420
1545,1537.0,10520.043223820312,72.27,15801.0,1790099249.7413,1790099262.4992,0.72,1350.0,26,-420
1702,1695.0,11623.520507341309,77.88,15801.0,1790099273.0433,1790099284.5487,0.72,1350.0,23,-420
1852,1845.0,12675.40321968849,83.95,15801.0,1790099295.309,1790099305.8759,0.72,1350.0,21,-420
2010,2002.0,13718.991376477295,92.32,15801.0,1790099316.3067,1790099326.0547,0.72,1455.0,19,-420
2167,2160.0,14848.60679002412,106.55,15801.0,1790099336.4165,1790099345.4371,0.755,1620.0,18,-420
2317,2310.0,15844.755621263339,123.77,15801.0,1790099355.7796,1790099364.2462,0.79,1770.0,17,-420
2475,2467.0,16937.89546796463,145.2,15801.0,1790099374.7722,1790099382.6759,0.84,1950.0,16,-420
2625,2617.0,17830.64741716126,155.0,15801.0,1790099393.1575,1790099400.658,0.845,1972.0,15,-420
2782,2756.4,18920.097637962423,165.3,15801.0,1790099411.0694,1790099418.1388,0.885,2100.0,14,-420
2932,2756.3,18888.628195898877,171.81,15801.0,1790099428.2776,1790099435.3709,0.885,2107.0,14,-420
3090,2764.9,18882.301683463804,174.83,15801.0,1790099445.6591,1790099452.7598,0.885,2107.0,14,-420
