target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.2,197.4204180819898,59.96,16301.0,1790101136.6684,1790101146.5084,0.72,1230.0,19,-420
1395,1393.1,209.6852169717124,61.06,16301.0,1790101156.7801,1790101166.0692,0.72,1312.0,19,-420
1545,1540.8,215.75854086847883,62.38,16301.0,1790101176.2771,1790101185.3127,0.72,1338.5,18,-420
1702,1696.6,218.4877790174411,62.76,16301.0,1790101195.236,1790101204.1525,0.72,1342.0,17,-420
1852,1844.9,221.3580211406656,64.01,15332.8,1790101214.0598,1790101222.8714,0.72,1342.0,18,-420
2010,2002.0,232.43102551523728,63.06,15332.8,1790101233.0522,1790101241.435,0.72,1440.0,16,-420
2167,2160.0,246.54477879388605,68.64,15268.3,1790101251.4726,1790101259.3597,0.76,1612.0,16,-420
2317,2310.0,255.31414937214475,77.8,16301.0,1790101269.2091,1790101276.8407,0.795,1777.0,16,-420
2475,2467.0,260.64031373302976,85.69,15194.5,1790101287.0337,1790101294.4953,0.84,1935.0,15,-420
2625,2596.0,261.88324762746555,83.69,16315.3,1790101304.4084,1790101311.8312,0.84,1942.0,15,-420
2782,2775.0,265.30683165834984,91.82,16301.0,1790101321.7089,1790101329.0455,0.885,2085.0,14,-420
2932,2925.0,267.19227625616514,95.78,16301.0,1790101338.8619,1790101346.1297,0.92,2190.0,14,-420
3090,3000.0,267.82637902245483,98.78,16301.0,1790101356.1873,1790101363.4499,0.92,2190.0,14,-420
