"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.8","1230","1237","15747.8","810","16301","True","-1.2","none","67.65","10.65","73.47","44.5","46","93.1","62.38","True","1790101920.1659","1790101935.3694","17.422","14.9517","15.2028","0.2511","4223595402630.741","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000000"
"1395","1392.1","1387","1395","15681.4","810","16301","True","-2.9","none","74.21","12.18","80.7","45.2","46","93.3","68.07","True","1790101945.6339","1790101959.1032","15.825","13.2631","13.4698","0.2068","4761336364592.005","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","80.56","13.05","86.85","46.3","47","97","72.83","True","1790101969.4329","1790101981.5744","14.104","11.9777","12.1434","0.1657","5272265698106.638","FLOP/s","True","23","26","0x0000000000000001;0x0000000000000000"
"1702","1694.6","1687","1695","15563.3","810","16301","True","-7.4","none","82.8","11.56","91.61","46.7","48","94.5","73.94","True","1790101991.6063","1790102002.6564","13.031","10.865","11.0501","0.1851","5812239008275.741","FLOP/s","True","21","24","0x0000000000000001;0x0000000000000000"
"1852","1844.2","1830","1845","15485.7","810","16301","True","-7.8","none","87.19","11.55","96.77","47.2","49","90.7","77.03","True","1790102012.7309","1790102022.843","12.016","9.9808","10.1168","0.136","6327119031971.066","FLOP/s","True","19","22","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","15440.4","810","16301","True","-8","none","93.26","11.26","102.23","48.2","50","92.6","81.64","True","1790102032.8244","1790102042.1933","11.423","9.219","9.3705","0.1515","6849955673012.627","FLOP/s","True","18","21","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","15332.8","810","16301","True","-7","none","104.21","12.53","118.43","49.8","52","88.5","91.29","True","1790102052.2927","1790102060.9766","10.845","8.5357","8.6847","0.1491","7398364402491.85","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","15268.3","810","16301","True","-7","none","114.32","12.44","132.93","51.5","53","92.2","98.59","True","1790102071.1745","1790102079.2809","10.374","7.9974","8.1078","0.1105","7896341143861.692","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","136.23","13.68","155.72","54.7","57","93.4","117.09","True","1790102089.5025","1790102097.1025","9.828","7.4908","7.5976","0.1069","8430346670975.748","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2625","2607.1","2602","2610","16301","16301","16301","True","-17.9","none","140.92","13.72","161.46","55.8","58","93.1","118.44","True","1790102107.503","1790102114.8139","9.254","7.1923","7.3095","0.1172","8780181891097.773","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2782","2627","2542","2775","15194.5","810","16301","False","-155","below","141.17","18.52","168.55","55.7","59","86.1","119.93","True","1790102124.7932","1790102132.0772","9.296","7.1591","7.2823","0.1232","8820892456190.164","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2932","2631.7","2527","2925","15194.5","810","16301","False","-300.3","below","140.5","17.31","163.84","56.9","61","92.9","119.24","True","1790102142.1357","1790102149.4371","9.235","7.1862","7.3083","0.1221","8787598726060.333","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"3090","2651.6","2520","3007","16301","16301","16301","False","-438.4","below","144.18","17.51","161.31","57.1","60","94.2","122.13","True","1790102159.4179","1790102166.735","9.251","7.1919","7.319","0.1271","8780678529285.346","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000004;0x0000000000000000"
