target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.8,4223.595402630741,67.65,15747.8,1790101920.1659,1790101935.3694,0.72,1245.0,30,-420
1395,1392.1,4761.336364592004,74.21,15681.4,1790101945.6339,1790101959.1032,0.72,1327.0,27,-420
1545,1537.0,5272.2656981066375,80.56,16301.0,1790101969.4329,1790101981.5744,0.72,1350.0,24,-420
1702,1694.6,5812.239008275741,82.8,15563.3,1790101991.6063,1790102002.6564,0.72,1350.0,22,-420
1852,1844.2,6327.119031971067,87.19,15485.7,1790102012.7309,1790102022.843,0.72,1350.0,20,-420
2010,2002.0,6849.955673012627,93.26,15440.4,1790102032.8244,1790102042.1933,0.72,1455.0,19,-420
2167,2160.0,7398.364402491849,104.21,15332.8,1790102052.2927,1790102060.9766,0.755,1620.0,17,-420
2317,2310.0,7896.341143861692,114.32,15268.3,1790102071.1745,1790102079.2809,0.79,1770.0,16,-420
2475,2467.0,8430.346670975749,136.23,16301.0,1790102089.5025,1790102097.1025,0.84,1950.0,15,-420
2625,2607.1,8780.181891097773,140.92,16301.0,1790102107.503,1790102114.8139,0.84,1950.0,15,-420
2782,2627.0,8820.892456190164,141.17,15194.5,1790102124.7932,1790102132.0772,0.855,1983.5,14,-420
2932,2631.7,8787.598726060332,140.5,15194.5,1790102142.1357,1790102149.4371,0.845,1980.0,15,-420
3090,2651.6,8780.678529285346,144.18,16301.0,1790102159.4179,1790102166.735,0.8474999999999999,1980.0,14,-420
