target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.8,8359.958289679931,60.18,16301.0,1790103441.04,1790103457.0278,0.72,1245.0,31,-420
1395,1387.0,9460.238807566657,67.29,16301.0,1790103467.4768,1790103481.6575,0.72,1327.0,28,-420
1545,1537.0,10513.8524783379,71.53,16301.0,1790103492.4014,1790103505.1696,0.72,1350.0,26,-420
1702,1695.0,11620.023518904438,78.5,16301.0,1790103515.5574,1790103527.0795,0.72,1350.0,23,-420
1852,1845.0,12671.93735825661,81.55,16301.0,1790103537.8303,1790103548.3705,0.72,1350.0,21,-420
2010,2002.0,13711.663226186829,90.74,16301.0,1790103558.8117,1790103568.5894,0.72,1455.0,20,-420
2167,2160.0,14846.998575283564,107.36,16301.0,1790103578.9209,1790103587.9499,0.755,1620.0,18,-420
2317,2310.0,15831.985476909502,119.02,16301.0,1790103598.2151,1790103606.7056,0.79,1770.0,17,-420
2475,2467.0,16931.239444233586,140.06,16301.0,1790103617.2147,1790103625.1129,0.84,1950.0,16,-420
2625,2617.0,17828.654140313083,150.76,16301.0,1790103635.5433,1790103643.036,0.845,1972.0,15,-420
2782,2775.0,19063.122777988116,178.07,16301.0,1790103653.2532,1790103660.2882,0.89,2107.0,14,-420
2932,2811.2,19230.699879025364,176.78,16301.0,1790103670.6224,1790103677.6036,0.8975,2145.0,14,-420
3090,2801.6,19227.596998129437,179.22,16301.0,1790103687.95,1790103694.9194,0.895,2145.0,13,-420
