target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1234.8,298.1198221644645,50.77,13210.5,1790267596.4039,1790267608.1311,0.72,1245.0,24,-420
1395,1392.6,322.0039099913941,52.01,13801.0,1790267618.1226,1790267629.001,0.72,1350.0,21,-420
1545,1537.0,349.7041126492953,53.61,13801.0,1790267639.1511,1790267649.1574,0.72,1462.0,20,-420
1702,1695.0,392.7192630953852,58.3,13801.0,1790267659.1797,1790267668.0947,0.76,1635.0,18,-420
1852,1845.0,418.368292231599,63.2,13801.0,1790267678.1317,1790267686.5196,0.795,1777.0,16,-420
2010,2002.0,419.17110957812235,67.08,12934.9,1790267696.3931,1790267704.7623,0.84,1935.0,17,-420
2167,2160.0,419.38985935777725,66.46,12989.1,1790267714.7986,1790267723.1605,0.85,1957.0,16,-420
2317,2310.0,419.3312484794661,70.16,13801.0,1790267733.0934,1790267741.4546,0.885,2085.0,17,-420
2475,2467.0,419.8071139899189,76.68,13801.0,1790267751.4817,1790267759.845,0.93,2212.0,17,-420
2625,2617.0,419.7811097476871,81.06,12934.9,1790267769.9213,1790267778.2592,0.98,2340.0,17,-420
2782,2754.1,419.934070350899,85.77,12934.9,1790267788.3288,1790267796.6686,1.025,2430.0,17,-420
2932,2753.5,419.67391848332466,86.94,13801.0,1790267806.6662,1790267815.018,1.02,2430.0,16,-420
3090,2755.1,419.99085751607817,89.04,13801.0,1790267825.053,1790267833.3813,1.02,2430.0,17,-420
