"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.8","1230","1237","13079.3","810","13801","True","-1.2","none","51.64","10.86","56.45","41.9","43","94.4","46.11","True","1790269229.48","1790269239.2506","11.966","9.6377","9.7754","0.1377","331200400677.8126","byte/s","True","18","22","0x0000000000000400"
"1395","1393.6","1387","1395","13036.8","810","13801","True","-1.4","none","52.08","11.1","57.74","41.8","42","94.1","46.45","True","1790269249.4956","1790269258.8034","11.465","9.1809","9.3054","0.1245","347678180710.78577","byte/s","True","17","21","0x0000000000000400"
"1545","1537","1537","1537","13036.8","810","13801","True","-8","none","53.57","11.32","59.15","40.9","41","94.1","47.25","True","1790269268.9928","1790269277.989","10.89","8.8439","8.9932","0.1492","360924699936.13513","byte/s","True","17","20","0x0000000000000400"
"1702","1695","1695","1695","13813.5","13801","14001","True","-7","none","56.67","12.9","62.81","41.1","42","93.9","49.93","True","1790269287.9473","1790269296.6645","10.93","8.5722","8.7142","0.142","372366295885.2827","byte/s","True","16","20","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","60.66","12.9","66.4","41.5","42","95.1","53.05","True","1790269306.8901","1790269315.5147","10.309","8.4874","8.6244","0.137","376087791521.07715","byte/s","True","16","19","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","64.72","21.53","70.18","41.9","42","94.4","56.83","True","1790269325.2416","1790269333.8518","10.367","8.4625","8.6121","0.1496","377195002832.74744","byte/s","True","16","19","0x0000000000000400"
"2167","2153.5","2152","2160","13801","13801","13801","True","-13.5","none","65.93","27.48","70.9","41.9","42","96.1","57.81","True","1790269343.666","1790269352.2714","10.343","8.4592","8.6098","0.1506","377342257193.999","byte/s","True","16","19","0x0000000000000400"
"2317","2310","2310","2310","12989.1","810","13801","True","-7","none","67.54","13.79","74.64","42.4","43","93.8","59.07","True","1790269362.056","1790269370.6595","10.371","8.4542","8.6021","0.1479","377565373072.65625","byte/s","True","16","19","0x0000000000000400"
"2475","2467","2467","2467","12989.1","810","13801","True","-8","none","71.61","15.42","79.77","43.1","44","93.8","63.16","True","1790269380.4962","1790269389.0904","10.374","8.4522","8.5939","0.1416","377651216243.9194","byte/s","True","16","19","0x0000000000000400"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","79.77","17","87.38","44.1","45","94.5","69.81","True","1790269398.901","1790269407.5017","10.359","8.451","8.6005","0.1495","377706588079.714","byte/s","True","16","19","0x0000000000000400"
"2782","2753.4","2752","2775","13801","13801","13801","True","-28.6","none","85.6","21.28","93.05","45.2","46","96.1","75.18","True","1790269417.345","1790269425.9182","10.35","8.448","8.5668","0.1188","377842783098.06116","byte/s","True","16","19","0x0000000000000400"
"2932","2752.9","2752","2767","13801","13801","13801","False","-179.1","below","86.84","32.77","93.39","45.4","46","94","76.8","True","1790269435.7276","1790269444.3079","10.358","8.4479","8.5782","0.1302","377843207994.85565","byte/s","True","16","19","0x0000000000000400"
"3090","2752","2752","2752","13801","13801","13801","False","-338","below","87.77","36.61","93.58","46.1","47","97.9","76.86","True","1790269454.1242","1790269462.7288","10.301","8.4475","8.6064","0.1589","377861381055.23956","byte/s","True","16","19","0x0000000000000400"
