target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.8,331.20040067781264,51.64,13079.3,1790269229.48,1790269239.2506,0.72,1245.0,20,-420
1395,1393.6,347.67818071078574,52.08,13036.8,1790269249.4956,1790269258.8034,0.72,1350.0,19,-420
1545,1537.0,360.92469993613514,53.57,13036.8,1790269268.9928,1790269277.989,0.72,1462.0,18,-420
1702,1695.0,372.36629588528274,56.67,13813.5,1790269287.9473,1790269296.6645,0.76,1635.0,17,-420
1852,1845.0,376.0877915210771,60.66,13801.0,1790269306.8901,1790269315.5147,0.795,1777.0,17,-420
2010,2002.0,377.19500283274743,64.72,13801.0,1790269325.2416,1790269333.8518,0.84,1935.0,17,-420
2167,2153.5,377.34225719399905,65.93,13801.0,1790269343.666,1790269352.2714,0.845,1957.0,17,-420
2317,2310.0,377.56537307265626,67.54,12989.1,1790269362.056,1790269370.6595,0.885,2085.0,17,-420
2475,2467.0,377.65121624391935,71.61,12989.1,1790269380.4962,1790269389.0904,0.93,2212.0,17,-420
2625,2617.0,377.706588079714,79.77,13801.0,1790269398.901,1790269407.5017,0.98,2340.0,17,-420
2782,2753.4,377.84278309806115,85.6,13801.0,1790269417.345,1790269425.9182,1.025,2430.0,17,-420
2932,2752.9,377.8432079948557,86.84,13801.0,1790269435.7276,1790269444.3079,1.025,2430.0,17,-420
3090,2752.0,377.8613810552396,87.77,13801.0,1790269454.1242,1790269462.7288,1.025,2430.0,17,-420
