"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1234.8","1230","1237","13210.5","810","13801","True","-2.2","none","49.17","10.58","53.05","39.8","40","92.3","44.55","True","1790269499.5959","1790269511.4758","13.635","11.7012","11.8774","0.1762","294328215802.5754","byte/s","True","22","25","0x0000000000000400"
"1395","1393","1387","1395","13801","13801","13801","True","-2","none","50.85","14.36","54.32","40","41","96.8","45.9","True","1790269521.3052","1790269532.3097","13.06","10.8244","10.9985","0.1741","318170777444.19244","byte/s","True","20","24","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","52.27","11.51","57.51","41.5","42","95.7","46.91","True","1790269542.4225","1790269552.4204","11.955","9.8489","9.9976","0.1487","349683337572.73944","byte/s","True","18","22","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","57.21","12.63","63.15","43.2","44","94.5","50.53","True","1790269562.429","1790269571.4667","10.859","8.8902","9.0368","0.1466","387390859458.6361","byte/s","True","17","20","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","63.7","15.81","69.64","44.6","45","96.4","55.6","True","1790269581.3368","1790269589.7212","10.288","8.229","8.3828","0.1538","418518419276.35034","byte/s","True","16","19","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","68.32","28.06","73.19","46.3","47","100","60.11","True","1790269599.665","1790269608.0333","10.345","8.2134","8.361","0.1476","419317310509.5153","byte/s","True","15","19","0x0000000000000400"
"2167","2160","2160","2160","12934.9","810","13801","True","-7","none","65.9","15.14","74.33","47.2","48","93.3","58.34","True","1790269618.0502","1790269626.4246","10.297","8.2126","8.3765","0.1638","419355440459.8335","byte/s","True","15","19","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","70.51","17.41","77.82","48.5","49","94.9","62.38","True","1790269636.3922","1790269644.7264","10.316","8.208","8.3385","0.1305","419589707786.11383","byte/s","True","15","19","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","78.03","26.16","85.09","50.3","51","93.5","68.7","True","1790269654.7507","1790269663.1105","10.355","8.207","8.3591","0.1521","419640066526.8335","byte/s","True","15","19","0x0000000000000400"
"2625","2617","2617","2617","12934.9","810","13801","True","-8","none","86.06","18.38","94.35","52.1","53","93.2","75.67","True","1790269673.134","1790269681.4872","10.335","8.2063","8.353","0.1466","419676460157.3152","byte/s","True","15","19","0x0000000000000400"
"2782","2748.3","2745","2760","12934.9","810","13801","False","-33.7","below","88.84","22.5","98.83","51.7","52","93.3","79.18","True","1790269691.5249","1790269699.8621","10.314","8.2004","8.339","0.1386","419980056069.0473","byte/s","True","15","19","0x0000000000000400"
"2932","2756.8","2752","2760","13801","13801","13801","False","-175.2","below","88.74","21.1","98.53","50.6","51","94.9","78.38","True","1790269709.8839","1790269718.235","10.345","8.2007","8.3549","0.1542","419965286284.0893","byte/s","True","15","19","0x0000000000000400"
"3090","2755.7","2752","2760","13801","13801","13801","False","-334.3","below","90.08","28.69","98.11","49.7","50","97.1","79.4","True","1790269728.2817","1790269736.6452","10.405","8.2059","8.3648","0.159","419700134490.4883","byte/s","True","15","19","0x0000000000000400"
