target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.0,297.79107314162684,50.62,16301.0,1790183068.1298,1790183079.0362,0.725,1207.0,22,-420
1395,1393.4,303.6385313415671,51.05,16301.0,1790183089.1565,1790183099.8411,0.725,1230.0,21,-420
1545,1542.9,323.6742429255135,52.3,16301.0,1790183109.6096,1790183119.6032,0.725,1312.0,19,-420
1702,1695.0,353.25538784186716,54.65,16301.0,1790183129.5028,1790183138.6601,0.72,1440.0,18,-420
1852,1845.0,381.9753765653036,57.54,15332.8,1790183148.8555,1790183157.3427,0.755,1605.0,16,-420
2010,2002.0,404.2756353307848,63.36,16301.0,1790183167.1567,1790183175.1612,0.795,1777.0,16,-420
2167,2160.0,416.007217464506,66.67,15194.5,1790183185.3942,1790183193.1623,0.84,1942.0,16,-420
2317,2295.5,415.43361384515913,68.31,16301.0,1790183203.1249,1790183210.9054,0.84,1942.0,16,-420
2475,2451.6,417.7128845515973,68.53,15194.5,1790183220.9155,1790183228.6512,0.845,1957.0,15,-420
2625,2580.4,417.8171308923798,69.06,16301.0,1790183238.7144,1790183246.4417,0.845,1957.0,15,-420
2782,2775.0,417.2479532824402,70.08,15194.5,1790183256.3935,1790183264.1462,0.855,1980.0,16,-420
2932,2925.0,421.69610055691595,78.0,16301.0,1790183274.0994,1790183281.7664,0.895,2115.0,16,-420
3090,3015.0,421.19925403391005,79.48,15194.5,1790183291.8663,1790183299.5394,0.92,2190.0,15,-420
