"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.7","1230","1237","16301","16301","16301","True","-1.3","none","56.52","12.8","63.14","41.9","43","97.6","50.85","True","1790183887.2888","1790183898.3718","13.017","10.9181","11.0867","0.1686","175519144103.37634","FLOP/s","True","21","24","0x0000000000000001;0x0000000000000000"
"1395","1393","1387","1395","16301","16301","16301","True","-2","none","57.53","12.1","64.35","41.8","42","94.8","51.66","True","1790183908.3597","1790183918.9785","12.433","10.4478","10.6189","0.1711","183420701028.3921","FLOP/s","True","20","23","0x0000000000000001;0x0000000000000000"
"1545","1542.9","1537","1545","16301","16301","16301","True","-2.1","none","58.85","11.38","66.35","41.6","42","95.1","52.42","True","1790183928.8361","1790183938.8796","11.859","9.8997","10.0463","0.1467","193576469723.812","FLOP/s","True","19","22","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","61.4","15.08","68.88","41.7","42","97.4","54.28","True","1790183948.7397","1790183958.1357","11.303","9.2496","9.3935","0.1439","207181349186.3726","FLOP/s","True","18","21","0x0000000000000001;0x0000000000000000"
"1852","1844.5","1837","1845","15332.8","810","16301","True","-7.5","none","66.79","13.52","74.26","42","43","88.7","58.69","True","1790183968.0802","1790183976.875","10.786","8.6352","8.7954","0.1602","221921437247.07645","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2010","2002","2002","2002","16313.5","16301","16501","True","-8","none","71.24","12.46","81.3","42.8","44","93.1","62.02","True","1790183986.9117","1790183995.3078","10.314","8.2777","8.394","0.1163","231506208689.32312","FLOP/s","True","16","19","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","79","18.07","89.11","43.7","45","95.9","69.23","True","1790184005.273","1790184013.4774","10.211","8.0835","8.2046","0.121","237067830618.22333","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2317","2285.7","2280","2295","15268.3","810","16301","False","-31.3","below","78.37","13.12","90.11","43.9","45","92.7","68.13","True","1790184023.5117","1790184031.6203","10.243","8.0076","8.1082","0.1006","239314895011.06076","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2475","2438.6","2430","2460","16301","16301","16301","False","-36.4","below","80.6","15.6","92.15","44.4","45","94.7","69.99","True","1790184041.7968","1790184049.8014","9.689","7.9118","8.0044","0.0926","242214651681.36322","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2625","2562.2","2550","2602","15268.3","810","16301","False","-62.8","below","80.78","16.52","92.89","44.5","46","92.4","70.21","True","1790184059.5488","1790184067.5458","9.693","7.8993","7.9976","0.0983","242595868964.21555","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2782","2767.1","2760","2775","16301","16301","16301","True","-14.9","none","83.54","19.66","94.23","45.2","46","95.9","72.69","True","1790184077.2647","1790184085.1814","9.695","7.81","7.91","0.1","245371425894.96674","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","15194.5","810","16301","True","-7","none","87.66","19.96","100.23","45.9","47","92.3","77.05","True","1790184095.0084","1790184102.7838","9.71","7.6809","7.7765","0.0956","249494510965.99548","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"3090","3015.5","3015","3022","16301","16301","16301","False","-74.5","below","93.3","23.54","105.26","46.8","48","95.1","81.36","True","1790184112.7758","1790184120.4811","9.731","7.6134","7.7043","0.0909","251706489163.15198","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
