target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.2,4188.096673924549,50.78,16301.0,1790185300.0389,1790185320.4929,0.72,1230.0,40,-420
1395,1393.5,4740.830507999452,54.73,16301.0,1790185330.7744,1790185348.8649,0.72,1252.0,36,-420
1545,1543.2,5273.442892541016,57.73,16301.0,1790185359.2847,1790185375.5593,0.72,1305.0,33,-420
1702,1695.0,5859.438347986448,62.71,16301.0,1790185385.6439,1790185400.2681,0.72,1455.0,29,-420
1852,1845.0,6390.332010298025,69.66,15681.4,1790185410.4256,1790185423.8312,0.745,1582.0,27,-420
2010,2002.0,7001.4919878102655,84.88,16301.0,1790185434.1349,1790185446.382,0.795,1785.0,24,-420
2167,2160.0,7573.763528866192,97.18,15563.3,1790185456.7798,1790185468.0997,0.84,1927.0,23,-420
2317,2304.4,8018.699104601824,102.23,15526.4,1790185478.3126,1790185489.0225,0.84,1942.0,21,-420
2475,2462.9,8562.660352529092,108.41,15485.7,1790185499.3064,1790185509.3073,0.845,1965.0,20,-420
2625,2605.1,9033.576786571382,113.33,15440.4,1790185519.2549,1790185528.7426,0.845,1972.0,19,-420
2782,2775.0,9775.534366088208,123.08,16301.0,1790185538.658,1790185547.421,0.855,1987.0,17,-420
2932,2925.0,10361.60941106059,144.63,16301.0,1790185557.477,1790185565.7258,0.895,2122.0,17,-420
3090,2993.7,10636.596529652572,151.66,15681.0,1790185575.75,1790185583.7872,0.925,2190.0,16,-420
