"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.5","1230","1237","16301","16301","16301","True","-1.5","none","35.17","25.35","36.43","42.6","43","98.1","33","True","1790185621.5599","1790185641.5503","22.729","19.7633","19.9896","0.2263","3034880039877.074","FLOP/s","True","37","42","0x0000000000000001;0x0000000000000000"
"1395","1393.5","1387","1395","16301","16301","16301","True","-1.5","none","37.43","20.2","39.59","41.9","42","98.3","34.73","True","1790185652.208","1790185669.9416","20.4","17.4911","17.7326","0.2414","3429123486754.6387","FLOP/s","True","33","38","0x0000000000000001;0x0000000000000000"
"1545","1543.7","1537","1545","16301","16301","16301","True","-1.3","none","39.42","21.84","41.47","41.6","42","96.7","36.18","True","1790185680.65","1790185696.6052","18.311","15.674","15.956","0.282","3826665042618.3267","FLOP/s","True","30","34","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","41.56","27.72","43.39","41.6","42","98.3","37.74","True","1790185706.9292","1790185721.315","16.767","14.2","14.387","0.1871","4223903336046.0347","FLOP/s","True","27","31","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","46.54","20.93","49.32","42.2","43","98.9","41.76","True","1790185731.6849","1790185744.725","15.656","12.8864","13.0446","0.1582","4654452258008.566","FLOP/s","True","24","29","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","56.03","33.28","58.91","43.6","44","97.6","49.44","True","1790185755.3869","1790185767.3644","14.571","11.8075","11.9777","0.1702","5079762094367.296","FLOP/s","True","22","27","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","64.49","37.77","68.37","45.3","46","95.9","56.8","True","1790185777.9255","1790185788.9828","13.448","10.9243","11.0539","0.1297","5490455498504.029","FLOP/s","True","20","25","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"2317","2295","2295","2295","16301","16301","16301","True","-22","none","66.4","36.59","70.7","45.9","47","98.9","57.48","True","1790185799.4066","1790185809.9632","12.901","10.418","10.5526","0.1346","5757245091473.75","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"2475","2452.4","2452","2460","16301","16301","16301","True","-22.6","none","70.51","44.52","74.42","46.6","48","97.7","60.36","True","1790185820.3222","1790185830.1879","11.845","9.7374","9.8662","0.1288","6159664011174.227","FLOP/s","True","18","22","0x0000000000000001;0x0000000000000000"
"2625","2583.8","2580","2595","16301","16301","16301","False","-41.2","below","75.13","52.48","78.67","47.5","48","99.4","64.62","True","1790185840.2273","1790185849.5968","11.866","9.2512","9.3725","0.1213","6483407485651.273","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","81.06","60.86","85.14","48.6","50","99.4","68.62","True","1790185860.1225","1790185868.8027","10.748","8.5437","8.6798","0.136","7020268508362.658","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","89.8","47.79","96.32","50.5","52","99.1","74.42","True","1790185878.9131","1790185887.0493","10.251","8.0243","8.1369","0.1126","7474737107918.242","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"3090","3015.5","3015","3022","16301","16301","16301","False","-74.5","below","95.15","27.77","104.92","51.5","53","99.3","83.35","True","1790185897.2061","1790185905.0558","10.287","7.756","7.8508","0.0948","7733269619452.919","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
