"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.1","1230","1237","16301","16301","16301","True","-0.9","none","42.22","21.65","44.46","41","42","97","39.32","True","1790185942.8943","1790185963.3526","23.205","20.2126","20.4596","0.247","2562867219314.2183","FLOP/s","True","38","43","0x0000000000000001;0x0000000000000000"
"1395","1393.4","1387","1395","16301","16301","16301","True","-1.6","none","45.47","30.93","47.56","41.5","42","98.7","42.09","True","1790185974.0984","1790185992.1811","20.994","17.8554","18.0827","0.2273","2901198531317.0728","FLOP/s","True","34","39","0x0000000000000001;0x0000000000000000"
"1545","1542.9","1537","1545","16301","16301","16301","True","-2.1","none","48.61","34.33","50.85","41.9","43","98.1","44.48","True","1790186003.0189","1790186019.2388","18.827","15.9821","16.222","0.2399","3241268895151.2217","FLOP/s","True","30","35","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","53.45","40.21","55.98","42.6","43","98.3","48.08","True","1790186029.8312","1790186044.5148","17.18","14.4737","14.6844","0.2106","3579045123489.765","FLOP/s","True","27","32","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","61.12","35.64","65.13","44.4","46","97.4","54.5","True","1790186055.0792","1790186068.5084","16.174","13.209","13.431","0.222","3921734362545.8125","FLOP/s","True","25","30","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","72.74","29.67","77.56","48.3","50","98","64.15","True","1790186079.2262","1790186091.396","14.564","12.0117","12.1708","0.1591","4312648901731.756","FLOP/s","True","22","27","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","86.91","58.84","91.3","52.1","54","96.5","75.87","True","1790186101.8168","1790186113.1053","13.46","11.1197","11.2864","0.1667","4658605144725.7","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2317","2303.2","2302","2310","16301","16301","16301","True","-13.8","none","91.81","60.38","97.32","52.3","53","97.4","79.67","True","1790186123.2965","1790186134.0137","12.955","10.5333","10.711","0.1777","4917926229115.668","FLOP/s","True","20","24","0x0000000000000001;0x0000000000000000"
"2475","2461.2","2460","2467","16301","16301","16301","True","-13.8","none","98.7","64.52","104.53","52.9","54","98.8","84.51","True","1790186144.2655","1790186154.1967","12.4","9.8038","9.9303","0.1265","5283879818969.14","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"2625","2602.5","2595","2610","16301","16301","16301","True","-22.5","none","102.18","70.88","108.46","53.2","54","96.3","86.98","True","1790186164.7178","1790186174.1832","11.874","9.3125","9.4647","0.1522","5562653096498.806","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","109.69","75.52","116.55","54","56","95.1","91.11","True","1790186184.6819","1790186193.4127","11.329","8.6058","8.7299","0.1241","6019418077126.789","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","121.23","61.36","131.86","56.6","58","97","100.7","True","1790186203.9669","1790186212.2308","10.756","8.1638","8.2634","0.0996","6345313026175.492","FLOP/s","True","15","20","0x0000000000000001;0x0000000000000000"
"3090","3006.9","2977","3015","16301","16301","16301","False","-83.1","below","134.08","79.06","143.07","57.7","60","96.7","109.74","True","1790186222.7791","1790186230.8145","10.212","7.9349","8.0348","0.0999","6528369260478.234","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
