target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.3,7541.252273204133,58.41,16301.0,1790186268.481,1790186286.2551,0.72,1215.0,36,-420
1395,1393.3,8614.819417700786,63.03,16301.0,1790186296.9148,1790186312.4412,0.72,1245.0,31,-420
1545,1542.8,9625.267884270463,68.54,16301.0,1790186323.344,1790186337.2747,0.72,1297.0,28,-420
1702,1695.0,10666.261653718191,75.52,16301.0,1790186347.9603,1790186360.5154,0.72,1455.0,25,-420
1852,1845.0,11683.391284175872,86.7,16301.0,1790186371.1329,1790186382.548,0.745,1582.0,23,-420
2010,2002.0,12750.413662481518,102.59,16301.0,1790186393.1087,1790186403.5963,0.795,1770.0,21,-420
2167,2160.0,13844.70208425103,120.01,16301.0,1790186414.0796,1790186423.7393,0.835,1927.0,19,-420
2317,2296.2,14591.845259011088,130.11,16301.0,1790186433.9815,1790186443.1575,0.84,1950.0,19,-420
2475,2448.6,15569.99183488094,140.19,16301.0,1790186453.3116,1790186461.9099,0.845,1972.0,17,-420
2625,2578.2,16388.70569685934,140.86,16301.0,1790186472.1653,1790186480.3102,0.845,1972.0,17,-420
2782,2762.9,17832.335292627937,157.06,16301.0,1790186490.4641,1790186497.9661,0.865,2032.0,15,-420
2932,2902.8,18748.49843552404,184.05,16301.0,1790186508.194,1790186515.3272,0.905,2148.5,14,-420
3090,2909.8,18796.119073121976,182.7,16301.0,1790186525.3913,1790186532.5049,0.91,2160.0,15,-420
