"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.3","1230","1237","15563.3","810","16301","True","-1.7","none","48.34","9.98","54.97","37.6","39","94.8","43.86","True","1790455121.1168","1790455132.32","13.443","11.0353","11.2068","0.1715","289253991301.8941","byte/s","True","21","25","0x0000000000000001;0x0000000000000000"
"1395","1393.4","1387","1395","15526.4","810","16301","True","-1.6","none","49.82","10.22","56.21","39.2","40","94.7","45.09","True","1790455142.5248","1790455153.3749","12.923","10.6866","10.8513","0.1647","298692252889.663","byte/s","True","20","24","0x0000000000000001;0x0000000000000000"
"1545","1543","1537","1545","15526.4","810","16301","True","-2","none","50.69","10.65","57.15","40.4","41","94.5","45.9","True","1790455163.5672","1790455174.1298","12.824","10.4088","10.5636","0.1548","306662219423.96893","byte/s","True","20","24","0x0000000000000001;0x0000000000000000"
"1702","1699.8","1695","1702","16301","16301","16301","True","-2.2","none","53.02","15.81","58.96","41.6","42","95.9","47.34","True","1790455184.3315","1790455194.2834","11.827","9.8159","9.9501","0.1342","325187117577.8395","byte/s","True","19","22","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","15389.8","810","16301","True","-7","none","54.83","11.85","60.66","42.5","43","88.1","49.04","True","1790455204.2854","1790455213.4491","11.27","9.031","9.1641","0.1331","353449476993.94135","byte/s","True","17","21","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16313.5","16301","16501","True","-8","none","59.33","12.03","67.84","43.9","45","93.4","51.96","True","1790455223.5051","1790455231.9512","10.182","8.3212","8.4476","0.1264","383597228678.4026","byte/s","True","16","19","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","65.83","25.1","72.11","45.5","46","97.1","57.19","True","1790455241.7362","1790455249.707","9.677","7.8807","7.9707","0.09","405041950011.74146","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","15268.3","810","16301","True","-7","none","67.81","17.19","77.1","46.7","48","92.7","59.39","True","1790455259.5379","1790455267.31","9.649","7.6826","7.7723","0.0897","415485022663.13617","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2475","2452.5","2452","2460","15268.3","810","16301","True","-22.5","none","67.18","14.26","77.88","47.7","49","92.7","58.72","True","1790455277.1593","1790455284.9389","9.664","7.6866","7.78","0.0934","415269501189.5623","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2625","2579.4","2572","2595","16301","16301","16301","False","-45.6","below","70.58","21.4","78.39","48.7","50","95.1","61.65","True","1790455294.8324","1790455302.6333","9.624","7.7054","7.799","0.0936","414256099349.74133","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","15268.3","810","16301","True","-7","none","70.31","15.68","80.32","49.5","50","92.7","61.4","True","1790455312.5884","1790455320.3821","9.651","7.6971","7.7968","0.0996","414699011665.30475","byte/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","79.95","32.62","87.63","51.3","52","98.6","70.41","True","1790455330.2045","1790455337.9307","9.637","7.6229","7.7229","0.1","418738412788.50555","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
"3090","3015","3015","3015","16301","16301","16301","False","-75","below","82.16","25.55","91.83","52.4","53","95","72.74","True","1790455347.8951","1790455355.553","9.646","7.5599","7.6592","0.0993","422226008852.21","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
