target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.0,246.75346523116298,47.38,16301.0,1790455392.4976,1790455406.6554,0.72,1192.0,28,-420
1395,1392.2,251.801795751918,47.23,15705.2,1790455416.7402,1790455430.63,0.72,1215.0,27,-420
1545,1543.2,257.6901447055365,48.84,16301.0,1790455440.8654,1790455454.4186,0.72,1245.0,27,-420
1702,1700.5,275.0878545859311,49.86,16301.0,1790455464.4392,1790455477.1578,0.72,1312.0,25,-420
1852,1845.0,306.9032512897627,51.77,16301.0,1790455487.4883,1790455498.8875,0.72,1455.0,23,-420
2010,2002.0,342.5873259220304,56.09,16301.0,1790455509.0092,1790455519.2243,0.755,1597.0,20,-420
2167,2160.0,378.79871927295466,62.37,16301.0,1790455529.3813,1790455538.6032,0.795,1777.0,18,-420
2317,2310.0,417.24105458613843,66.53,15332.8,1790455548.6614,1790455557.0416,0.84,1935.0,17,-420
2475,2457.5,421.7141084220718,69.53,16301.0,1790455566.813,1790455575.1126,0.845,1957.0,16,-420
2625,2588.5,420.17380848262513,67.16,15332.8,1790455585.1336,1790455593.453,0.845,1957.0,17,-420
2782,2775.0,433.0489314234762,71.01,15268.3,1790455603.3368,1790455611.3886,0.86,2002.0,16,-420
2932,2925.0,453.7937613029227,76.38,16301.0,1790455621.5345,1790455629.2211,0.895,2115.0,15,-420
3090,3016.0,460.2818526035849,78.24,15194.5,1790455639.156,1790455646.7418,0.92,2190.0,15,-420
