target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.3,172.31268290506986,56.49,15563.3,1790455950.4122,1790455961.7001,0.72,1192.0,23,-420
1395,1392.7,178.28553554078314,57.54,15563.3,1790455971.9283,1790455982.8379,0.72,1215.0,22,-420
1545,1543.4,185.14818190681103,57.19,15526.4,1790455992.7595,1790456003.2656,0.72,1245.0,21,-420
1702,1700.5,197.37533875158692,58.95,15485.7,1790456013.2899,1790456023.1233,0.72,1320.0,19,-420
1852,1845.0,212.70896830286887,62.21,16301.0,1790456033.1066,1790456042.2571,0.72,1462.0,18,-420
2010,2002.0,225.26569438950077,65.87,15332.8,1790456052.3216,1790456060.9658,0.755,1605.0,17,-420
2167,2160.0,233.38820874744232,71.26,15332.8,1790456071.2493,1790456079.5909,0.795,1770.0,17,-420
2317,2310.0,239.79966788682123,80.01,16301.0,1790456089.5266,1790456097.6241,0.84,1935.0,16,-420
2475,2445.5,242.43559606371946,79.75,15268.3,1790456107.6866,1790456115.6853,0.845,1950.0,16,-420
2625,2567.9,244.1823093169682,82.53,16301.0,1790456125.9658,1790456133.9266,0.845,1950.0,16,-420
2782,2767.5,247.41306429309924,82.01,15268.3,1790456144.2157,1790456152.0585,0.855,1980.0,16,-420
2932,2925.0,249.43828027695778,87.69,15268.3,1790456161.7963,1790456169.5721,0.895,2115.0,16,-420
3090,3015.5,249.97036548549414,92.41,16301.0,1790456179.6148,1790456187.3833,0.92,2190.0,16,-420
