"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.3","1230","1237","16301","16301","16301","True","-0.7","none","75.32","13.69","85.23","45","46","96","66.92","True","1790456493.6193","1790456503.9998","12.346","10.2118","10.3737","0.1619","3335435299505.2227","FLOP/s","True","20","23","0x0000000000000001;0x0000000000000000"
"1395","1393.3","1387","1395","15485.7","810","16301","True","-1.7","none","77.21","11.74","86.99","45","46","92.1","68.83","True","1790456514.0616","1790456524.0221","12.366","9.8261","9.968","0.1419","3466355571431.435","FLOP/s","True","19","23","0x0000000000000001;0x0000000000000000"
"1545","1542.9","1537","1545","15485.7","810","16301","True","-2.1","none","75.85","10.83","88.72","45.1","46","91.4","67.11","True","1790456534.4616","1790456544.3061","11.847","9.7215","9.843","0.1214","3503638899733.156","FLOP/s","True","19","22","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","79.9","12.15","91.83","45.4","47","94.2","70.28","True","1790456554.2485","1790456563.5842","11.26","9.2035","9.3367","0.1332","3700832283502.2983","FLOP/s","True","18","21","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","84.78","18.6","95.6","46.1","47","95.4","74.15","True","1790456573.5668","1790456582.2341","10.717","8.5343","8.6669","0.1326","3991049877640.9336","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","15268.3","810","16301","True","-8","none","92.63","14.38","107.7","47.5","49","93.2","80.82","True","1790456592.2959","1790456600.325","10.202","7.9353","8.0288","0.0935","4292318409759.218","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","105.82","27.51","118.93","49.1","51","95.4","90.89","True","1790456610.5338","1790456618.26","9.693","7.6218","7.7242","0.1023","4468844449021.355","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","15268.3","810","16301","True","-7","none","111.54","17.58","130.88","50.3","52","93.1","95.95","True","1790456628.362","1790456636.0105","9.664","7.5299","7.6454","0.1155","4523388137034.397","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2475","2437.5","2430","2460","15268.3","810","16301","False","-37.5","below","116.1","13.97","130.9","50.7","53","89.3","99.29","True","1790456646.0635","1790456653.6884","9.643","7.5322","7.6275","0.0952","4521990867490.095","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2625","2549.9","2535","2610","16301","16301","16301","False","-75.1","below","114.95","18.86","131.32","51.3","53","94.2","99.77","True","1790456663.6607","1790456671.3102","9.646","7.5451","7.651","0.1059","4514284762115.307","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2782","2743.8","2730","2775","15268.3","810","16301","False","-38.2","below","113.49","16.06","133.71","51.7","54","91.8","96.93","True","1790456681.442","1790456689.0721","9.651","7.545","7.6343","0.0893","4514313002387.485","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
"2932","2918.1","2917","2925","16301","16301","16301","True","-13.9","none","126.27","17.24","143.8","53.4","56","94.5","108.46","True","1790456699.1345","1790456706.7598","9.638","7.5291","7.6239","0.0948","4523856328618.325","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
"3090","3004.3","3000","3015","15268.3","810","16301","False","-85.7","below","129.98","20.4","151.52","54.3","56","92.9","111.99","True","1790456716.8173","1790456724.461","9.651","7.5555","7.6469","0.0913","4508039787604.278","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
