target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.9,4008.281280026917,59.93,16301.0,1790457054.7992,1790457075.2619,0.72,1200.0,41,-420
1395,1393.4,4537.733273102501,64.73,15845.4,1790457085.4432,1790457103.5284,0.72,1222.0,37,-420
1545,1542.6,5065.436996291703,69.37,16301.0,1790457113.8502,1790457130.0419,0.72,1245.0,33,-420
1702,1696.2,5595.396391894533,75.32,16301.0,1790457140.1479,1790457154.8337,0.72,1327.0,29,-420
1852,1845.0,6150.002026591989,79.09,16301.0,1790457164.8329,1790457178.1733,0.72,1455.0,27,-420
2010,2002.0,6680.248708052173,89.82,15627.5,1790457188.4613,1790457200.7156,0.755,1612.0,25,-420
2167,2160.0,7224.95677273124,102.71,15563.3,1790457210.952,1790457222.2918,0.795,1792.0,23,-420
2317,2310.0,7752.283619888023,118.85,15526.4,1790457232.4163,1790457243.0047,0.84,1942.0,21,-420
2475,2457.5,8199.648243146572,126.2,16301.0,1790457253.3361,1790457263.3323,0.845,1972.0,20,-420
2625,2590.2,8615.372743052665,131.82,16301.0,1790457273.2782,1790457282.7763,0.845,1972.0,19,-420
2782,2766.2,9307.959012934958,137.93,15389.8,1790457293.1089,1790457301.9235,0.855,1987.0,17,-420
2932,2919.6,9909.037631766423,159.99,16301.0,1790457311.8181,1790457320.1047,0.895,2115.0,17,-420
3090,2973.7,10064.214504792393,168.24,15681.0,1790457330.1399,1790457338.2691,0.915,2175.0,16,-420
