"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.9","1230","1237","16301","16301","16301","True","-1.1","none","50.68","33.44","53.68","45.4","46","99.2","47.04","True","1790457375.4176","1790457395.92","23.051","20.217","20.5011","0.2841","4177700052197.6123","FLOP/s","True","38","43","0x0000000000000001;0x0000000000000000"
"1395","1393.4","1387","1395","16301","16301","16301","True","-1.6","none","54.49","27.05","58.72","45.4","46","97.6","49.89","True","1790457406.6104","1790457424.7411","20.367","17.8743","18.1315","0.2573","4725259705028.165","FLOP/s","True","34","38","0x0000000000000001;0x0000000000000000"
"1545","1543.1","1537","1545","16301","16301","16301","True","-1.9","none","59.56","36.54","64.01","45.7","47","96.5","53.89","True","1790457434.9265","1790457451.1693","18.269","16.0191","16.2415","0.2224","5272501485109.681","FLOP/s","True","30","34","0x0000000000000001;0x0000000000000000"
"1702","1698.4","1695","1702","16301","16301","16301","True","-3.6","none","62.99","19.32","69.03","46.1","47","98.3","56.76","True","1790457461.2828","1790457475.952","17.183","14.4802","14.6712","0.1911","5832832117105.184","FLOP/s","True","27","32","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","66.33","13.69","73.39","46.4","48","95.6","60.92","True","1790457486.4014","1790457499.8047","15.57","13.2054","13.4023","0.1969","6395902434479.634","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","79.38","33.16","86.66","48.3","50","97.8","69.65","True","1790457510.087","1790457522.3536","14.464","12.0951","12.2662","0.171","6983022596092.148","FLOP/s","True","23","27","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","92.19","40.78","100.02","50.5","52","97.2","79.87","True","1790457532.5576","1790457543.9079","13.43","11.1901","11.356","0.1659","7547792378988.018","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","15526.4","810","16301","True","-7","none","104.12","16.24","118.63","52.4","54","94.2","93.54","True","1790457554.0324","1790457564.6162","12.889","10.4161","10.5841","0.168","8108657230836.119","FLOP/s","True","20","24","0x0000000000000001;0x0000000000000000"
"2475","2461.9","2460","2467","16301","16301","16301","True","-13.1","none","115.47","59.17","125.24","54.4","56","97.8","98.46","True","1790457574.9545","1790457584.9553","12.326","9.8645","10.0007","0.1361","8562028691686.544","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"2625","2604.4","2595","2610","16301","16301","16301","True","-20.6","none","121.37","66.42","132.17","55.6","58","96.9","102.78","True","1790457595.3493","1790457604.8993","11.758","9.4024","9.5498","0.1475","8982876345670.04","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","15389.8","810","16301","True","-7","none","123.46","18.75","141.98","55.9","59","92.1","107.56","True","1790457615.0281","1790457623.7932","10.711","8.6438","8.7644","0.1206","9771278540241.688","FLOP/s","True","17","20","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","141.92","20.8","162.6","59.2","62","94.4","123.85","True","1790457633.846","1790457642.1474","10.712","8.1936","8.2962","0.1026","10308094743006.453","FLOP/s","True","16","20","0x0000000000000001;0x0000000000000000"
"3090","3001.2","2977","3015","15332.8","810","16301","False","-88.8","below","150.85","20.95","178.97","61","65","91.2","130.59","True","1790457652.6083","1790457660.6813","10.171","7.9695","8.0734","0.1039","10597963935883.887","FLOP/s","True","16","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
