"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.3","1230","1237","16301","16301","16301","True","-1.7","none","35.31","28.82","36.46","42.9","43","98.6","32.51","True","1790457698.2466","1790457718.2117","22.486","19.7251","19.9708","0.2457","3040760068956.4316","FLOP/s","True","37","42","0x0000000000000001;0x0000000000000000"
"1395","1393.1","1387","1395","16301","16301","16301","True","-1.9","none","37.64","15.08","40.14","42.3","43","98.5","34.87","True","1790457728.7165","1790457746.4584","20.383","17.502","17.7425","0.2406","3426999157908.093","FLOP/s","True","33","38","0x0000000000000001;0x0000000000000000"
"1545","1542.9","1537","1545","16301","16301","16301","True","-2.1","none","39.6","20.56","41.83","42","43","97.6","36.31","True","1790457756.9416","1790457772.9252","18.214","15.744","15.9837","0.2397","3809666957638.3164","FLOP/s","True","30","34","0x0000000000000001;0x0000000000000000"
"1702","1700.7","1695","1702","16301","16301","16301","True","-1.3","none","41.81","24.97","43.8","42","43","98.3","38.06","True","1790457783.2962","1790457797.699","17.177","14.2307","14.402","0.1713","4214764418627.6113","FLOP/s","True","27","32","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","43.71","19.48","46.83","42.2","43","96.1","39.22","True","1790457808.4219","1790457821.6174","15.541","13.0331","13.1956","0.1625","4602081971931.443","FLOP/s","True","25","29","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","49.42","20.56","53.12","43.2","44","99.3","44.1","True","1790457831.9606","1790457843.9927","14.473","11.8712","12.0352","0.164","5052497701150.865","FLOP/s","True","22","27","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","58.5","21.91","62.96","44.6","46","98","51.1","True","1790457854.4468","1790457865.5289","13.382","10.9558","11.0815","0.1256","5474649267713.176","FLOP/s","True","21","25","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","67.96","39.81","72.27","46.5","47","97.7","58.83","True","1790457875.7732","1790457886.0755","12.843","10.1801","10.3041","0.124","5891799502163.833","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"2475","2454.2","2452","2460","16301","16301","16301","True","-20.8","none","70.59","38.58","75.05","46.9","48","97.7","60.64","True","1790457896.7276","1790457906.514","12.332","9.6735","9.7918","0.1183","6200378445996.025","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"2625","2586.8","2580","2595","16301","16301","16301","False","-38.2","below","74.72","51.32","79.16","47.7","49","95.8","63.83","True","1790457917.0707","1790457926.4689","11.829","9.2734","9.3999","0.1265","6467849584914.785","FLOP/s","True","17","22","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","78.11","28.37","85.51","48.9","50","99.2","65.38","True","1790457936.9048","1790457945.5936","11.241","8.566","8.6899","0.1239","7002029037556.64","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","90.63","56.38","95.37","50.5","52","95.3","75.39","True","1790457956.1023","1790457964.2262","10.225","8.028","8.1293","0.1013","7471252900928.219","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"3090","3015","3015","3015","16301","16301","16301","False","-75","below","100.39","72.37","105.58","52.6","54","99.3","83.77","True","1790457974.4307","1790457982.2939","10.225","7.7576","7.8626","0.1049","7731632179603.906","FLOP/s","True","14","19","0x0000000000000001;0x0000000000000000"
