target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.3,3040.7600689564315,35.31,16301.0,1790457698.2466,1790457718.2117,0.72,1192.0,40,-420
1395,1393.1,3426.999157908093,37.64,16301.0,1790457728.7165,1790457746.4584,0.72,1215.0,36,-420
1545,1542.9,3809.6669576383165,39.6,16301.0,1790457756.9416,1790457772.9252,0.72,1245.0,31,-420
1702,1700.7,4214.764418627611,41.81,16301.0,1790457783.2962,1790457797.699,0.72,1320.0,29,-420
1852,1845.0,4602.081971931443,43.71,16301.0,1790457808.4219,1790457821.6174,0.72,1462.0,27,-420
2010,2002.0,5052.497701150865,49.42,16301.0,1790457831.9606,1790457843.9927,0.755,1605.0,24,-420
2167,2160.0,5474.6492677131755,58.5,16301.0,1790457854.4468,1790457865.5289,0.795,1777.0,22,-420
2317,2310.0,5891.799502163833,67.96,16301.0,1790457875.7732,1790457886.0755,0.84,1942.0,21,-420
2475,2454.2,6200.378445996025,70.59,16301.0,1790457896.7276,1790457906.514,0.845,1965.0,19,-420
2625,2586.8,6467.849584914785,74.72,16301.0,1790457917.0707,1790457926.4689,0.845,1965.0,18,-420
2782,2775.0,7002.029037556639,78.11,16301.0,1790457936.9048,1790457945.5936,0.855,1980.0,18,-420
2932,2925.0,7471.252900928219,90.63,16301.0,1790457956.1023,1790457964.2262,0.895,2122.0,16,-420
3090,3015.0,7731.6321796039065,100.39,16301.0,1790457974.4307,1790457982.2939,0.92,2190.0,16,-420
