target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.2,7522.700442618719,57.94,16301.0,1790458345.04,1790458362.8446,0.72,1192.0,36,-420
1395,1393.9,8575.98705555184,63.89,16301.0,1790458373.4176,1790458389.0002,0.72,1215.0,31,-420
1545,1543.8,9526.603591921816,67.74,16301.0,1790458399.6527,1790458413.7126,0.72,1252.0,28,-420
1702,1695.0,10612.912828966506,74.83,16301.0,1790458424.2737,1790458436.9082,0.72,1327.0,26,-420
1852,1845.0,11578.030151692954,79.91,16301.0,1790458447.2282,1790458458.7425,0.72,1455.0,23,-420
2010,2002.0,12716.937104322764,94.97,16301.0,1790458469.2867,1790458479.7942,0.755,1612.0,21,-420
2167,2160.0,13755.146340485888,110.27,16301.0,1790458490.0703,1790458499.7886,0.795,1792.0,19,-420
2317,2310.0,14824.112854720102,126.55,16301.0,1790458510.4829,1790458519.5047,0.84,1950.0,18,-420
2475,2456.3,15679.0033275565,139.04,16301.0,1790458529.7593,1790458538.3073,0.845,1972.0,17,-420
2625,2593.4,16425.03427767177,139.68,16301.0,1790458548.5406,1790458556.6747,0.845,1972.0,16,-420
2782,2766.4,17813.119794141905,158.0,16301.0,1790458567.1779,1790458574.6808,0.865,2032.0,15,-420
2932,2902.8,18793.806931089122,175.17,16301.0,1790458584.8899,1790458592.0165,0.905,2152.0,14,-420
3090,2913.2,18879.667067328228,184.55,16301.0,1790458602.5449,1790458609.6289,0.9075,2163.5,14,-420
