"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.1","1230","1237","13079.3","810","13801","True","-1.9","none","50.91","10.64","56.04","41.9","42","94.6","45.49","True","1790105679.237","1790105689.0124","12.021","9.6343","9.775","0.1408","331317524304.60406","byte/s","True","18","22","0x0000000000000400"
"1395","1393.1","1387","1395","13036.8","810","13801","True","-1.9","none","51.82","11.42","57.46","40.9","41","94.1","46.28","True","1790105699.236","1790105708.5454","11.455","9.1734","9.3034","0.13","347961741606.42957","byte/s","True","17","21","0x0000000000000400"
"1545","1537","1537","1537","13036.8","810","13801","True","-8","none","52.47","11.1","58.84","40.7","41","93.2","46.29","True","1790105718.8252","1790105727.8286","10.897","8.8402","8.9999","0.1597","361077166488.9714","byte/s","True","17","20","0x0000000000000400"
"1702","1695","1695","1695","12989.1","810","13801","True","-7","none","56.32","11.55","62.68","40.6","41","93.9","49.35","True","1790105737.7018","1790105746.3928","10.37","8.5639","8.6881","0.1241","372725268023.3052","byte/s","True","16","19","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","60.04","13.51","65.93","40.8","41","96.5","52.59","True","1790105756.1134","1790105764.7222","10.392","8.4789","8.6122","0.1333","376463284303.6902","byte/s","True","16","19","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","63.23","13.37","69.52","40.9","42","95.3","55.28","True","1790105774.6292","1790105783.2163","10.331","8.4539","8.5865","0.1325","377575189657.3179","byte/s","True","16","19","0x0000000000000400"
"2167","2152.5","2152","2160","13801","13801","13801","True","-14.5","none","65.62","26.38","70.4","41.2","42","97.1","57.95","True","1790105792.9107","1790105801.4892","10.326","8.4504","8.5771","0.1267","377734072231.0812","byte/s","True","16","19","0x0000000000000400"
"2317","2310","2310","2310","12989.1","810","13801","True","-7","none","66.79","13.64","74.08","41.6","42","93.9","58.42","True","1790105811.3722","1790105819.9397","10.359","8.4458","8.5688","0.123","377937312632.0216","byte/s","True","16","19","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","72.17","17.18","79.56","42.4","43","93.9","63.42","True","1790105829.6727","1790105838.2637","10.311","8.4455","8.5865","0.141","377951310422.34467","byte/s","True","16","19","0x0000000000000400"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","79.06","17.54","86.85","43.2","44","95.2","70.33","True","1790105848.1333","1790105856.7297","10.861","8.4438","8.5972","0.1534","378029812127.314","byte/s","True","16","20","0x0000000000000400"
"2782","2752.9","2752","2767","13801","13801","13801","True","-29.1","none","86.43","32.96","92.89","44.3","45","96.3","75.64","True","1790105866.9368","1790105875.5061","10.372","8.4444","8.5664","0.1219","378000091515.75757","byte/s","True","16","19","0x0000000000000400"
"2932","2752.9","2752","2767","13801","13801","13801","False","-179.1","below","86.51","30.68","93.01","44.7","45","97.2","76.38","True","1790105885.4552","1790105894.0208","10.342","8.4434","8.5657","0.1223","378048244925.31006","byte/s","True","16","19","0x0000000000000400"
"3090","2753.9","2752","2775","12989.1","810","13801","False","-336.1","below","83.57","21.37","93.19","45.1","46","93.8","74.08","True","1790105903.8519","1790105912.4273","10.826","8.4464","8.5787","0.1322","377910742952.1748","byte/s","True","16","20","0x0000000000000400"
