"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.7","1230","1237","13801","13801","13801","True","-0.3","none","48.59","14.07","51.88","40.2","41","97.5","44.32","True","1790105949.5622","1790105961.6283","14.202","11.8798","12.0697","0.1899","289903982689.79926","byte/s","True","22","26","0x0000000000000400"
"1395","1392.7","1387","1395","13182.4","810","13801","True","-2.3","none","49.89","11.15","54.38","41.4","42","91.4","45.07","True","1790105971.9669","1790105983.0349","13.062","10.8826","11.0675","0.1849","316468839948.7742","byte/s","True","21","24","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","52.84","18.71","56.45","42.7","43","96.2","47.82","True","1790105992.9776","1790106003.3298","12.514","10.1941","10.3465","0.1524","337841267869.947","byte/s","True","19","23","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","57.12","13.4","62.04","44.1","45","96.9","50.84","True","1790106013.6109","1790106022.8465","11.5","9.0896","9.2325","0.143","378896036450.3809","byte/s","True","17","21","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","62.66","16.43","69.18","45.4","46","96","55.08","True","1790106033.0722","1790106041.4648","10.336","8.232","8.3905","0.1585","418366869211.84845","byte/s","True","15","19","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","67.71","24.17","73.23","46.7","47","96.2","59.51","True","1790106051.466","1790106059.8254","10.333","8.2142","8.3598","0.1456","419274159732.9919","byte/s","True","15","19","0x0000000000000400"
"2167","2160","2160","2160","12934.9","810","13801","True","-7","none","66.57","15.04","74.52","47.6","48","92.1","59.06","True","1790106069.9342","1790106078.2677","10.389","8.2104","8.335","0.1246","419467307212.47144","byte/s","True","15","19","0x0000000000000400"
"2317","2310","2310","2310","12934.9","810","13801","True","-7","none","69.61","16.22","77.79","48.9","50","93.2","61.73","True","1790106088.278","1790106096.6216","10.36","8.206","8.3478","0.1417","419690877196.102","byte/s","True","15","19","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","76.09","16.29","85.18","50.3","51","93.3","67.13","True","1790106106.7296","1790106115.0611","10.375","8.2023","8.3296","0.1273","419883021614.4161","byte/s","True","15","19","0x0000000000000400"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","85.51","23.44","94.02","52.4","53","95.9","75.35","True","1790106125.0703","1790106133.4329","10.358","8.2043","8.3663","0.162","419779175676.5972","byte/s","True","15","19","0x0000000000000400"
"2782","2750.3","2745","2760","13801","13801","13801","False","-31.7","below","90.43","27.04","98.53","51.9","52","95.2","80.14","True","1790106143.5575","1790106151.8864","10.396","8.1997","8.3303","0.1305","420014234384.8384","byte/s","True","15","19","0x0000000000000400"
"2932","2755.7","2752","2760","12934.9","810","13801","False","-176.3","below","89.61","20.81","98.18","50.4","51","89.2","79.43","True","1790106162.0043","1790106170.3294","10.344","8.2005","8.3229","0.1224","419975067821.5649","byte/s","True","15","19","0x0000000000000400"
"3090","2755","2752","2760","12989.1","810","13801","False","-335","below","86.24","19.43","97.68","49.5","50","91.1","75.71","True","1790106180.4089","1790106188.7474","10.343","8.2013","8.3394","0.1381","419931484593.5077","byte/s","True","16","19","0x0000000000000400"
