target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.7,289.90398268979925,48.59,13801.0,1790105949.5622,1790105961.6283,0.72,1230.0,23,-420
1395,1392.7,316.4688399487742,49.89,13182.4,1790105971.9669,1790105983.0349,0.72,1350.0,22,-420
1545,1537.0,337.84126786994705,52.84,13801.0,1790105992.9776,1790106003.3298,0.72,1440.0,20,-420
1702,1695.0,378.8960364503809,57.12,13801.0,1790106013.6109,1790106022.8465,0.755,1605.0,18,-420
1852,1845.0,418.36686921184844,62.66,13801.0,1790106033.0722,1790106041.4648,0.795,1785.0,17,-420
2010,2002.0,419.2741597329919,67.71,13801.0,1790106051.466,1790106059.8254,0.84,1942.0,17,-420
2167,2160.0,419.46730721247144,66.57,12934.9,1790106069.9342,1790106078.2677,0.85,1965.0,16,-420
2317,2310.0,419.690877196102,69.61,12934.9,1790106088.278,1790106096.6216,0.885,2085.0,17,-420
2475,2467.0,419.88302161441607,76.09,13801.0,1790106106.7296,1790106115.0611,0.93,2212.0,16,-420
2625,2617.0,419.7791756765972,85.51,13801.0,1790106125.0703,1790106133.4329,0.98,2332.0,17,-420
2782,2750.3,420.0142343848384,90.43,13801.0,1790106143.5575,1790106151.8864,1.025,2422.0,17,-420
2932,2755.7,419.9750678215649,89.61,12934.9,1790106162.0043,1790106170.3294,1.02,2430.0,16,-420
3090,2755.0,419.9314845935077,86.24,12989.1,1790106180.4089,1790106188.7474,1.02,2430.0,17,-420
