target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1236.2,338.4545072096448,60.86,13812.8,1790106225.7911,1790106235.1316,0.72,1245.0,19,-420
1395,1392.2,353.7790767602806,62.15,13036.8,1790106245.3422,1790106254.2982,0.72,1320.0,18,-420
1545,1537.0,366.3949535198304,63.39,13813.5,1790106264.2855,1790106272.9393,0.72,1440.0,17,-420
1702,1695.0,370.937370324087,68.5,13801.0,1790106283.1573,1790106291.7128,0.76,1605.0,17,-420
1852,1845.0,371.80086232498905,73.96,13801.0,1790106301.6237,1790106310.1369,0.795,1770.0,17,-420
2010,2002.0,371.85844909321895,80.22,12989.1,1790106319.9242,1790106328.434,0.84,1935.0,16,-420
2167,2152.5,371.7565687684248,78.95,12989.1,1790106338.373,1790106346.8874,0.845,1957.0,17,-420
2317,2310.0,371.6738356987788,84.06,13801.0,1790106356.7619,1790106365.2949,0.885,2085.0,17,-420
2475,2467.0,371.83179166910156,90.19,13801.0,1790106375.181,1790106383.734,0.93,2212.0,17,-420
2625,2617.0,371.60149604077617,103.61,13801.0,1790106393.4826,1790106402.029,0.98,2340.0,17,-420
2782,2754.4,371.62875346581393,104.95,12989.1,1790106411.9696,1790106420.5172,1.02,2430.0,17,-420
2932,2753.9,371.5556083159581,106.44,12989.1,1790106430.3886,1790106438.9189,1.02,2422.0,17,-420
3090,2750.3,371.4862870850389,108.04,13801.0,1790106448.7412,1790106457.2769,1.02,2422.0,17,-420
