target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.6,4634.191428224727,51.54,13801.0,1790107901.6781,1790107920.1789,0.72,1252.0,36,-420
1395,1392.9,5224.022330211969,56.9,13801.0,1790107930.424,1790107946.8456,0.72,1335.0,32,-420
1545,1537.0,5771.274441740758,62.58,13801.0,1790107957.067,1790107971.9093,0.72,1455.0,29,-420
1702,1695.0,6370.252609758416,73.4,13801.0,1790107982.0086,1790107995.5042,0.76,1612.0,27,-420
1852,1845.0,6928.538041563756,81.7,13236.2,1790108005.758,1790108018.1282,0.795,1785.0,25,-420
2010,2002.0,7519.25493821174,101.51,13801.0,1790108028.5955,1790108040.0273,0.84,1942.0,23,-420
2167,2160.0,7997.786832942442,101.71,13801.0,1790108050.1062,1790108060.8562,0.845,1942.0,21,-420
2317,2310.0,8674.281425484858,114.29,13117.3,1790108071.3026,1790108081.1849,0.885,2085.0,20,-420
2475,2467.0,9264.618452525525,135.93,13036.8,1790108091.2241,1790108100.4807,0.935,2223.5,18,-420
2625,2591.8,9696.553056198276,161.48,13801.0,1790108110.6538,1790108119.4822,0.985,2355.0,18,-420
2782,2604.1,9688.886255064243,161.42,13036.8,1790108129.7254,1790108138.6071,0.985,2355.0,18,-420
2932,2594.8,9675.479172148483,161.89,13036.8,1790108148.6999,1790108157.5768,0.98,2355.0,17,-420
3090,2596.1,9673.807681891001,165.12,13801.0,1790108167.5575,1790108176.4536,0.98,2347.0,18,-420
