target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.5,3373.0216447870444,35.93,13801.0,1790108214.0716,1790108232.1066,0.72,1245.0,36,-420
1395,1393.3,3800.4628051168256,39.53,13801.0,1790108242.7374,1790108258.7961,0.72,1320.0,31,-420
1545,1537.0,4197.042143135722,41.12,13801.0,1790108269.3423,1790108283.8249,0.72,1440.0,29,-420
1702,1695.0,4634.265590458388,46.65,13801.0,1790108294.2359,1790108307.3741,0.755,1605.0,26,-420
1852,1845.0,5037.1189857457375,53.11,13801.0,1790108318.0502,1790108330.1301,0.795,1777.0,24,-420
2010,2002.0,5463.64279901377,64.04,13801.0,1790108340.7171,1790108351.8603,0.845,1942.0,22,-420
2167,2160.0,5861.997294185937,67.23,13801.0,1790108362.338,1790108372.728,0.85,1965.0,21,-420
2317,2310.0,6300.124235135585,75.07,13801.0,1790108382.8714,1790108392.5333,0.885,2085.0,19,-420
2475,2467.0,6726.153072693292,87.46,13801.0,1790108402.9339,1790108411.9898,0.93,2212.0,18,-420
2625,2617.0,7124.875583431174,102.3,13801.0,1790108422.363,1790108430.9257,0.98,2332.0,18,-420
2782,2753.5,7466.211998805293,111.1,13801.0,1790108441.1946,1790108449.3322,1.02,2422.0,16,-420
2932,2749.0,7457.282201054622,118.27,13801.0,1790108459.6802,1790108467.8259,1.02,2422.0,16,-420
3090,2748.7,7465.828085907661,119.47,13801.0,1790108478.1398,1790108486.2737,1.02,2422.0,16,-420
