"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.4","1230","1237","13801","13801","13801","True","-0.6","none","43.57","13.34","45.03","42.8","43","96.6","40.15","True","1790108523.9795","1790108542.3525","21.262","18.1233","18.3736","0.2503","2858314922818.4663","FLOP/s","True","34","39","0x0000000000000400"
"1395","1392.6","1387","1395","13801","13801","13801","True","-2.4","none","46.57","21.32","48.33","42.8","43","98.6","42.56","True","1790108553.2163","1790108569.5082","19.018","16.0688","16.2924","0.2236","3223773940323.4233","FLOP/s","True","30","35","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","49.74","19.3","52.4","43.1","44","100","44.95","True","1790108580.2402","1790108594.997","17.452","14.5431","14.762","0.2189","3561972440477.1514","FLOP/s","True","27","32","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","60.69","26.65","63.24","44.7","45","98.5","54.04","True","1790108605.6694","1790108619.0562","15.749","13.1718","13.3848","0.213","3932818108447.4375","FLOP/s","True","25","29","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","70.88","48.85","73.15","46.5","47","99.1","62.51","True","1790108629.3451","1790108641.6821","14.751","12.111","12.343","0.232","4277262570113.659","FLOP/s","True","22","27","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","85.19","66.79","87.39","48.4","49","100","73.69","True","1790108652.1136","1790108663.4518","13.655","11.164","11.3384","0.1744","4640107794029.645","FLOP/s","True","20","25","0x0000000000000400"
"2167","2160","2160","2160","13801","13801","13801","True","-7","none","89.59","50.01","93.73","49.9","51","97.9","76.68","True","1790108673.8744","1790108684.4426","13.053","10.3916","10.5627","0.1711","4985001675391.887","FLOP/s","True","19","24","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","100.6","51.44","105.46","51.3","53","97.8","84.92","True","1790108694.9485","1790108704.7773","12.031","9.6746","9.8227","0.1481","5354453163834.703","FLOP/s","True","18","22","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","115.75","48.69","123.9","54.9","56","98.9","97.04","True","1790108715.0456","1790108724.2481","11.447","9.065","9.2071","0.1421","5714492379306.456","FLOP/s","True","17","21","0x0000000000000400"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","143.22","57.84","155.18","59.9","62","100","117.96","True","1790108734.4784","1790108743.1418","10.922","8.5532","8.6686","0.1154","6056468583805.034","FLOP/s","True","16","20","0x0000000000000400"
"2782","2705.7","2700","2715","13801","13801","13801","False","-76.3","below","159.84","87.72","169.38","62.8","65","98.3","130.3","True","1790108753.3501","1790108761.7506","10.921","8.291","8.3996","0.1086","6248008596126.078","FLOP/s","True","15","20","0x0000000000000400"
"2932","2705.7","2700","2715","13801","13801","13801","False","-226.3","below","160.29","74.13","170.29","63.7","66","100","132.73","True","1790108772.4035","1790108780.8018","10.869","8.2864","8.4013","0.1149","6251473341233.948","FLOP/s","True","15","20","0x0000000000000400"
"3090","2705.3","2700","2715","13801","13801","13801","False","-384.7","below","162.55","102.4","171.59","64","66","96.7","134.82","True","1790108791.2533","1790108799.6466","10.849","8.2875","8.3978","0.1103","6250669301168.702","FLOP/s","True","15","20","0x0000000000000400"
