"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.8","1230","1237","13801","13801","13801","True","-1.2","none","61.66","39.4","63.22","45.8","46","100","55.67","True","1790108837.5897","1790108853.5621","18.562","15.7609","15.9703","0.2094","8371440751410.124","FLOP/s","True","30","34","0x0000000000000400"
"1395","1387","1387","1387","13801","13801","13801","True","-8","none","67.29","37.66","69.86","46.2","47","98.5","60.25","True","1790108864.1661","1790108878.3084","16.834","13.9204","14.146","0.2256","9478267639922.543","FLOP/s","True","26","31","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","75.11","52.88","77.46","47","48","98.4","66.27","True","1790108888.8744","1790108901.72","15.215","12.6068","12.845","0.2383","10465919279630.31","FLOP/s","True","24","28","0x0000000000000004;0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","85.3","38.13","90","48.7","50","98.2","74.51","True","1790108912.1801","1790108923.7078","14.141","11.3781","11.5267","0.1486","11596126099302.758","FLOP/s","True","21","26","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","100.74","27.91","106.45","51.1","52","98.5","86.7","True","1790108934.3226","1790108944.9257","13.062","10.4537","10.6061","0.1524","12621503919910.168","FLOP/s","True","20","24","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","120.8","76.26","125.85","53.9","55","97.3","102.56","True","1790108955.3265","1790108965.0917","11.999","9.6235","9.7645","0.1411","13710358097496.604","FLOP/s","True","18","22","0x0000000000000400"
"2167","2160","2160","2160","13801","13801","13801","True","-7","none","126.7","70.55","133.24","55.4","57","100","105.48","True","1790108975.4356","1790108984.6427","11.47","9.0476","9.2073","0.1597","14583088760041.387","FLOP/s","True","17","21","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","146.53","72.95","155.55","58.5","61","97.5","120.59","True","1790108994.917","1790109003.378","10.923","8.3213","8.4646","0.1434","15855940858991.979","FLOP/s","True","15","20","0x0000000000000400"
"2475","2443.1","2430","2467","13801","13801","13801","False","-31.9","below","175.19","128.04","183.62","62.1","65","100","143.76","True","1790109013.7936","1790109021.7946","10.334","7.8784","8.0012","0.1228","16747225758629.729","FLOP/s","True","14","19","0x0000000000000004;0x0000000000000400"
"2625","2450.1","2430","2535","13801","13801","13801","False","-174.9","below","171.54","71.73","182.33","63.7","65","100","140.03","True","1790109032.1514","1790109040.1541","10.358","7.885","8.0055","0.1205","16733112934722.22","FLOP/s","True","14","19","0x0000000000000400"
"2782","2447","2430","2520","13801","13801","13801","False","-335","below","170.96","83.17","180.48","63.9","66","97.6","140.04","True","1790109050.5878","1790109058.586","10.391","7.8922","7.9996","0.1075","16718003640226.148","FLOP/s","True","14","19","0x0000000000000004;0x0000000000000400"
"2932","2446.4","2430","2535","13801","13801","13801","False","-485.6","below","173.27","98.91","180.1","64.5","68","99.6","141.6","True","1790109068.989","1790109076.9967","10.407","7.8946","8.0096","0.115","16712956404847.604","FLOP/s","True","14","19","0x0000000000000004;0x0000000000000400"
"3090","2440.4","2422","2497","13801","13801","13801","False","-649.6","below","173.31","97.17","183.47","63.8","67","97.4","141.24","True","1790109087.4547","1790109095.4644","10.376","7.8963","8.0145","0.1182","16709301952944.088","FLOP/s","True","14","19","0x0000000000000004;0x0000000000000400"
