target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.5,190.55034974249722,56.4,13801.0,1790109946.8251,1790109957.0301,0.72,1245.0,21,-420
1395,1393.2,200.95989883178092,58.33,13801.0,1790109967.3202,1790109977.001,0.72,1342.0,19,-420
1545,1537.0,208.96703221095694,60.05,13801.0,1790109986.7892,1790109996.1,0.72,1462.0,18,-420
1702,1695.0,216.0227184952596,65.04,13801.0,1790110006.2492,1790110015.2547,0.76,1635.0,17,-420
1852,1845.0,220.19950016998973,68.17,13801.0,1790110025.2977,1790110034.12,0.7975000000000001,1777.0,18,-420
2010,2002.0,223.4977179750432,75.35,13801.0,1790110044.1389,1790110052.848,0.84,1935.0,17,-420
2167,2152.5,225.22864710936997,77.2,13801.0,1790110062.6241,1790110071.2822,0.845,1957.0,17,-420
2317,2310.0,227.44339690294814,81.79,13801.0,1790110081.6221,1790110090.1881,0.885,2085.0,17,-420
2475,2467.0,229.17243194771825,85.79,12989.1,1790110099.9648,1790110108.4865,0.93,2212.0,17,-420
2625,2617.0,230.5256280268578,94.46,12989.1,1790110118.3975,1790110126.8724,0.98,2340.0,16,-420
2782,2753.5,231.4157918510951,102.78,13801.0,1790110136.7959,1790110145.2416,1.02,2430.0,17,-420
2932,2753.4,231.44812938033698,103.11,13801.0,1790110155.3342,1790110163.7513,1.02,2430.0,17,-420
3090,2753.5,231.4279096796987,105.37,13801.0,1790110173.6158,1790110182.0359,1.02,2430.0,17,-420
