"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1234.9","1230","1237","13812.8","13801","14001","True","-2.1","none","76.64","10.8","85.35","46.1","47","94.4","67.64","True","1790110489.4739","1790110498.8556","11.498","9.251","9.3841","0.1331","3681854080251.603","FLOP/s","True","17","21","0x0000000000000400"
"1395","1389.4","1387","1395","13036.8","810","13801","True","-5.6","none","78.41","11.16","88.23","46.3","47","94.1","68.38","True","1790110509.0429","1790110518.0194","10.859","8.8345","8.9756","0.141","3855411904148.6064","FLOP/s","True","17","20","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","81.69","11.46","91.55","46.3","47","94.4","71.49","True","1790110527.9561","1790110536.6032","10.889","8.4824","8.6462","0.1638","4015476449929.338","FLOP/s","True","16","20","0x0000000000000004;0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","87.51","11.94","98.46","47.2","48","94.1","75.58","True","1790110546.9565","1790110555.4037","10.329","8.3102","8.4452","0.135","4098671120262.0635","FLOP/s","True","16","19","0x0000000000000004;0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","98.23","24.52","106.96","48.6","50","95.2","84.73","True","1790110565.2386","1790110573.7328","10.36","8.3585","8.5005","0.1419","4074958477429.194","FLOP/s","True","16","19","0x0000000000000400"
"2010","2002","2002","2002","12989.1","810","13801","True","-8","none","105.37","14.91","115.88","49.7","51","90.4","91.07","True","1790110583.7191","1790110592.2231","10.328","8.3752","8.505","0.1298","4066859005136.827","FLOP/s","True","16","19","0x0000000000000400"
"2167","2152.1","2145","2160","12989.1","810","13801","True","-14.9","none","103.84","15.37","117.07","50.2","52","93.8","90.18","True","1790110602.0328","1790110610.5389","10.33","8.3792","8.5087","0.1295","4064931276216.818","FLOP/s","True","16","19","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","111.68","15.31","124.23","51.4","53","95.2","96.32","True","1790110620.4098","1790110628.9416","10.36","8.3863","8.5334","0.1471","4061467583144.6226","FLOP/s","True","16","19","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","121.98","16.72","136","53.2","55","95.1","105.34","True","1790110638.8911","1790110647.4448","10.367","8.3946","8.5504","0.1559","4057472285112.9717","FLOP/s","True","16","19","0x0000000000000400"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","137.25","28.9","150.84","55.6","58","95.1","120.69","True","1790110657.3084","1790110665.8659","10.904","8.4015","8.5573","0.1558","4054125948481.2324","FLOP/s","True","16","20","0x0000000000000400"
"2782","2739.9","2737","2760","13801","13801","13801","False","-42.1","below","148.65","34.37","163.9","57.6","60","96","130.01","True","1790110676.2615","1790110684.8039","10.856","8.4052","8.5402","0.135","4052341209499.5156","FLOP/s","True","16","20","0x0000000000000400"
"2932","2740.6","2722","2760","12989.1","810","13801","False","-191.4","below","145.73","19.37","163.96","57.9","60","92.4","125.82","True","1790110695.097","1790110703.6494","10.374","8.4056","8.5516","0.1459","4052133328523.5513","FLOP/s","True","16","19","0x0000000000000400"
"3090","2741.1","2722","2760","13813.5","13801","14001","False","-348.9","below","145.69","19.56","164.35","58.3","61","93.9","125.9","True","1790110713.4968","1790110722.0702","10.328","8.4038","8.5689","0.1651","4052999366711.0024","FLOP/s","True","16","19","0x0000000000000400"
