"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","window_start_unix","window_end_unix","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.3","1230","1237","13801","13801","13801","True","-1.7","none","35.74","20.46","36.79","43.9","44","97.7","33.13","True","1790111669.1742","1790111687.1914","20.68","17.7639","18.0124","0.2485","3376474861310.155","FLOP/s","True","33","38","0x0000000000000400"
"1395","1393.3","1387","1395","13801","13801","13801","True","-1.7","none","39.58","33.04","40.25","42.9","43","98.7","36.21","True","1790111697.7544","1790111713.7706","18.499","15.7737","16.0142","0.2405","3802490652973.9146","FLOP/s","True","29","34","0x0000000000000400"
"1545","1537","1537","1537","13801","13801","13801","True","-8","none","41.33","31.11","42.15","43","43","100","37.69","True","1790111724.2486","1790111738.7028","16.859","14.2786","14.4502","0.1716","4200644758255.8184","FLOP/s","True","26","31","0x0000000000000400"
"1702","1695","1695","1695","13801","13801","13801","True","-7","none","46.06","20.22","47.69","43.6","44","95.9","41.26","True","1790111749.1993","1790111762.3105","15.297","12.9297","13.1122","0.1825","4638871863682.483","FLOP/s","True","24","28","0x0000000000000400"
"1852","1845","1845","1845","13801","13801","13801","True","-7","none","53.15","28.41","55.49","44.8","45","100","46.85","True","1790111772.4876","1790111784.5755","14.212","11.8981","12.0848","0.1867","5041075110152.801","FLOP/s","True","22","26","0x0000000000000400"
"2010","2002","2002","2002","13801","13801","13801","True","-8","none","64.28","49.21","65.97","46.2","47","97.9","56.55","True","1790111794.6513","1790111805.7767","13.593","10.9717","11.1295","0.1578","5466727913590.907","FLOP/s","True","20","25","0x0000000000000400"
"2167","2160","2160","2160","13801","13801","13801","True","-7","none","67.36","44.04","69.64","46.9","48","97.9","58.21","True","1790111816.2623","1790111826.6433","12.557","10.2285","10.3861","0.1576","5863923380598.933","FLOP/s","True","19","23","0x0000000000000400"
"2317","2310","2310","2310","13801","13801","13801","True","-7","none","74.35","36.28","78.76","48.2","49","100","63.48","True","1790111836.936","1790111846.5933","11.949","9.5153","9.6566","0.1413","6303439387436.902","FLOP/s","True","17","22","0x0000000000000400"
"2475","2467","2467","2467","13801","13801","13801","True","-8","none","87.54","39.63","92.7","50.2","51","97.9","74.11","True","1790111856.916","1790111865.9704","11.438","8.9153","9.0578","0.1425","6727667480175.75","FLOP/s","True","16","21","0x0000000000000400"
"2625","2617","2617","2617","13801","13801","13801","True","-8","none","101.76","48.08","108.68","52.7","54","95.1","85.16","True","1790111876.3693","1790111884.9162","10.891","8.4133","8.5468","0.1335","7129084887970.414","FLOP/s","True","15","20","0x0000000000000400"
"2782","2749.7","2722","2775","13801","13801","13801","False","-32.3","below","111.85","19.75","123.97","54.5","57","92.1","97.61","True","1790111895.2191","1790111903.357","10.329","8.0372","8.1348","0.0976","7462671943686.15","FLOP/s","True","15","19","0x0000000000000400"
"2932","2751.5","2745","2752","13801","13801","13801","False","-180.5","below","118.72","76.21","124.23","56.6","58","97.8","98.08","True","1790111913.6757","1790111921.8316","10.363","8.0312","8.1518","0.1206","7468286238641.776","FLOP/s","True","15","19","0x0000000000000400"
"3090","2749.5","2737","2752","13801","13801","13801","False","-340.5","below","120.33","85.53","124.66","56.9","58","100","99.67","True","1790111932.1011","1790111940.2242","10.331","8.0322","8.123","0.0908","7467353469036.498","FLOP/s","True","15","19","0x0000000000000400"
