target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.6,2862.2818697875714,43.6,13801.0,1790111977.9255,1790111996.2569,0.72,1245.0,36,-420
1395,1393.4,3228.131443113688,46.53,13801.0,1790112007.1896,1790112023.4817,0.72,1320.0,32,-420
1545,1537.0,3565.995908344131,50.26,13801.0,1790112034.2933,1790112049.0327,0.72,1440.0,29,-420
1702,1695.0,3936.2154122450356,60.69,13801.0,1790112059.6736,1790112073.0708,0.755,1605.0,26,-420
1852,1845.0,4280.7333396837585,70.29,13801.0,1790112083.5491,1790112095.8787,0.8,1785.0,25,-420
2010,2002.0,4641.422559533334,84.6,13801.0,1790112106.2929,1790112117.637,0.84,1942.0,23,-420
2167,2160.0,4988.343063006355,89.15,13801.0,1790112127.9822,1790112138.5379,0.845,1965.0,20,-420
2317,2310.0,5357.443879519471,100.36,13801.0,1790112148.9524,1790112158.7812,0.885,2085.0,20,-420
2475,2467.0,5718.4377974088975,116.78,13801.0,1790112168.9173,1790112178.1022,0.93,2212.0,18,-420
2625,2617.0,6061.80395727017,143.05,13801.0,1790112188.5115,1790112197.1707,0.995,2362.0,17,-420
2782,2707.3,6258.602496255955,158.75,13801.0,1790112207.4392,1790112215.8312,1.02,2415.0,17,-420
2932,2706.1,6258.60771368573,159.61,13801.0,1790112226.4566,1790112234.8391,1.02,2415.0,17,-420
3090,2704.2,6257.176044962197,161.11,13801.0,1790112245.3394,1790112253.7306,1.02,2415.0,16,-420
