target,achieved,throughputGbs,powerW,memoryMhz,windowStart,windowEnd,voltage,crossbar,sampleCount,hwinfoUtcOffsetMinutes
1237,1235.6,8387.439416148665,61.44,13801.0,1790112291.5177,1790112307.4489,0.72,1252.0,31,-420
1395,1387.3,9489.349876883462,67.46,13801.0,1790112318.1535,1790112332.2975,0.72,1327.0,28,-420
1545,1537.0,10473.532109445263,75.12,13801.0,1790112343.0086,1790112355.8318,0.72,1455.0,25,-420
1702,1695.0,11605.67936684877,84.21,13801.0,1790112366.2696,1790112377.7861,0.755,1612.0,23,-420
1852,1845.0,12630.75421462982,102.35,13801.0,1790112388.4967,1790112399.1068,0.795,1792.0,21,-420
2010,2002.0,13721.643700871837,120.39,13801.0,1790112409.4646,1790112419.2214,0.84,1942.0,19,-420
2167,2160.0,14601.348915448312,126.7,13801.0,1790112429.4995,1790112438.6886,0.84,1950.0,18,-420
2317,2310.0,15880.27675357724,147.47,13801.0,1790112448.9209,1790112457.3584,0.89,2092.0,17,-420
2475,2443.6,16771.95471710832,170.77,13801.0,1790112468.0066,1790112475.9672,0.935,2235.0,16,-420
2625,2441.3,16739.37025809746,172.87,13801.0,1790112486.4071,1790112494.3865,0.935,2242.0,16,-420
2782,2459.3,16730.327675633263,170.52,13801.0,1790112504.7852,1790112512.7961,0.93,2235.0,15,-420
2932,2448.0,16718.446800630154,171.09,13801.0,1790112523.1083,1790112531.1045,0.93,2238.5,16,-420
3090,2440.7,16716.87614442245,172.78,13801.0,1790112541.5464,1790112549.5615,0.93,2235.0,16,-420
