"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.4","1230","1237","16301","16301","16301","True","-1.6","none","63.18","14.24","69.46","42.5","43","97.4","54.62","True","10.756","8.7774","8.9301","0.1527","355448193627.36584","byte/s","True","17","20","0x0000000000000001;0x0000000000000000"
"1395","1392","1387","1395","15332.8","810","16301","True","-3","none","62.77","6.19","72.85","43.8","45","93.8","54.03","True","10.23","8.1632","8.3127","0.1495","382190865301.80054","byte/s","True","16","19","0x0000000000000001;0x0000000000000000"
"1545","1538.6","1537","1545","16301","16301","16301","True","-6.4","none","66.09","9.05","74.59","45.3","46","96.5","57.13","True","10.202","7.9331","8.0481","0.115","393279219101.63947","byte/s","True","15","19","0x0000000000000001;0x0000000000000000"
"1702","1694","1680","1695","15268.3","810","16301","True","-8","none","63.39","6.39","74.75","46.1","47","93.3","54.99","True","10.262","7.9399","8.0543","0.1144","392941013925.6855","byte/s","True","15","19","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","66.95","13.66","75.25","47.2","48","95.1","57.85","True","10.23","7.9821","8.1024","0.1203","390860978449.0918","byte/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","15194.5","810","16301","True","-8","none","64.7","6.95","77.06","48.1","49","92.9","55.76","True","9.704","7.5943","7.6952","0.1009","410821305829.3194","byte/s","True","14","18","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","75.07","10.77","84.85","49.8","51","96.5","63.2","True","9.156","7.2491","7.343","0.0939","430383460355.15375","byte/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16316.4","16301","16501","True","-7","none","79.93","8.21","92.26","51.2","52","92.5","67.79","True","9.162","7.0709","7.1815","0.1107","441233316197.7908","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","90.59","30.98","100.93","53.4","54","100","75.99","True","9.14","7.0004","7.0882","0.0878","445674564313.02997","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2625","2595.5","2595","2602","16301","16301","16301","True","-29.5","none","88.53","15.14","100.91","51.5","52","96.1","75.02","True","9.137","7.0025","7.0988","0.0963","445541272627.6225","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","15109.4","810","16301","True","-7","none","93.13","10.03","107.2","51.1","52","92.3","79.18","True","9.152","6.9836","7.0906","0.1069","446745630933.47565","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","102.11","31.62","114.41","51.5","52","97.5","86.15","True","9.145","6.9806","7.0934","0.1129","446942701853.17926","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"3090","2985","2985","2985","16301","16301","16301","False","-105","below","99.75","11.32","114.5","50.9","52","95.2","84.6","True","9.144","6.9815","7.0884","0.107","446883920139.33295","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
