"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1236.4","1230","1237","16301","16301","16301","True","-0.6","none","34.29","15.35","35.35","45","45","100","31.46","True","21.02","18.274","18.541","0.2669","3282211823307.426","FLOP/s","True","35","39","0x0000000000000001;0x0000000000000000"
"1395","1393.5","1387","1395","16301","16301","16301","True","-1.5","none","36.96","17.19","38.62","44","44","97.5","33.51","True","18.838","16.2314","16.4508","0.2194","3695257511278.0864","FLOP/s","True","31","35","0x0000000000000001;0x0000000000000000"
"1545","1543","1537","1545","16301","16301","16301","True","-2","none","39.53","18.09","40.84","43.6","44","100","35.39","True","17.244","14.6784","14.8637","0.1853","4086215772516.751","FLOP/s","True","28","32","0x0000000000000001;0x0000000000000000"
"1702","1700.3","1695","1702","16301","16301","16301","True","-1.7","none","41.13","23","42.5","43","44","98.8","36.52","True","16.166","13.3487","13.5107","0.1619","4493246156876.963","FLOP/s","True","25","30","0x0000000000000001;0x0000000000000000"
"1852","1850.2","1845","1852","16301","16301","16301","True","-1.8","none","42.8","17.66","44.6","43","44","99.4","37.38","True","14.581","12.293","12.4673","0.1743","4879149012661.002","FLOP/s","True","23","27","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","44.19","14.9","46.8","43.3","44","97.7","38.52","True","13.999","11.3607","11.4857","0.125","5279553983720.022","FLOP/s","True","21","26","0x0000000000000001;0x0000000000000000"
"2167","2160","2160","2160","16301","16301","16301","True","-7","none","51.74","17.79","54.22","44.4","45","98.5","44.33","True","12.927","10.5086","10.6338","0.1252","5707630269379.048","FLOP/s","True","19","24","0x0000000000000001;0x0000000000000000"
"2317","2310","2310","2310","16301","16301","16301","True","-7","none","59.46","23.18","64.18","45.8","46","100","50.74","True","12.41","9.8328","9.9611","0.1283","6099926756055.369","FLOP/s","True","18","23","0x0000000000000001;0x0000000000000000"
"2475","2467","2467","2467","16301","16301","16301","True","-8","none","66.04","7.81","72.79","46.8","48","94.6","57.72","True","11.299","9.2087","9.3399","0.1311","6513287528257.711","FLOP/s","True","18","21","0x0000000000000001;0x0000000000000000"
"2625","2606.5","2602","2610","16301","16301","16301","True","-18.5","none","72.49","41.72","75.69","47.9","49","100","60.32","True","11.304","8.8103","8.9467","0.1363","6807814579573.039","FLOP/s","True","16","21","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","84.99","44.59","89.16","50.2","51","100","70.24","True","10.753","8.1888","8.2962","0.1074","7324516504310.3","FLOP/s","True","15","20","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","89.56","9.33","101.15","51.1","53","94.3","77.59","True","10.245","7.7897","7.8911","0.1014","7699787148900.688","FLOP/s","True","15","19","0x0000000000000001;0x0000000000000000"
"3090","2992","2992","2992","16301","16301","16301","False","-98","below","92.89","25.06","103","52.5","54","99.1","78.97","True","9.678","7.6439","7.7441","0.1002","7846652061338.34","FLOP/s","True","15","18","0x0000000000000001;0x0000000000000000"
