"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235","1230","1237","16301","16301","16301","True","-2","none","50.78","7.12","55.67","48.8","49","95.8","45.7","True","13.497","11.3206","11.5058","0.1852","304224410341.36676","byte/s","True","21","25","0x0000000000000001;0x0000000000000000"
"1395","1392.6","1387","1395","16311","16301","16501","True","-2.4","none","51.15","7.13","57.42","49","50","95","46","True","12.948","10.6523","10.8118","0.1596","323311903499.3068","byte/s","True","20","24","0x0000000000000001;0x0000000000000000"
"1545","1537","1537","1537","16301","16301","16301","True","-8","none","53.88","7.59","59.57","49.4","50","94.7","47.6","True","11.87","9.8101","9.9533","0.1432","351066772043.8046","byte/s","True","19","22","0x0000000000000001;0x0000000000000000"
"1702","1695","1695","1695","16301","16301","16301","True","-7","none","59.69","11.63","65.53","50.1","51","92.6","51.96","True","10.772","8.8735","9.0197","0.1462","388121516203.7682","byte/s","True","17","20","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","15268.3","810","16301","True","-7","none","63.24","9.14","72.21","50.7","51","93.3","55.18","True","10.219","8.0009","8.1248","0.1239","430450621933.07117","byte/s","True","15","19","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","70.34","12.7","79.24","52.1","53","96.7","59.79","True","9.146","7.3326","7.4299","0.0973","469683549753.64","byte/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2167","2159.4","2152","2160","15194.5","810","16301","True","-7.6","none","69.83","9.08","79.28","50.6","51","92.9","59.32","True","9.145","7.3374","7.4391","0.1017","469377730106.2638","byte/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2317","2301.5","2295","2302","16301","16301","16301","True","-15.5","none","70.46","13.72","79.11","48.8","49","94.6","60.1","True","9.174","7.3552","7.4675","0.1123","468241226133.04114","byte/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2475","2466.5","2460","2467","16301","16301","16301","True","-8.5","none","69.69","9.26","79.81","47.6","48","94.3","58.94","True","9.185","7.2749","7.3785","0.1036","473408061611.5848","byte/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2625","2601.5","2595","2602","16301","16301","16301","True","-23.5","none","71.96","16.02","79.91","46.9","47","99.7","61.39","True","9.196","7.2751","7.3629","0.0878","473394266304.693","byte/s","True","14","17","0x0000000000000001;0x0000000000000000"
"2782","2775","2775","2775","16301","16301","16301","True","-7","none","71.87","10.39","81.38","46.1","47","95.7","61.37","True","9.173","7.1809","7.2766","0.0956","479602554866.78595","byte/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","15109.4","810","16301","True","-7","none","79.84","9.43","90.18","45.9","47","92.3","66.68","True","8.615","6.8333","6.9473","0.114","504002561808.2415","byte/s","True","13","16","0x0000000000000001;0x0000000000000000"
"3090","3015.5","3015","3022","16301","16301","16301","False","-74.5","below","82.41","14.52","92.92","46.2","47","96.8","68.88","True","8.656","6.8309","6.9406","0.1096","504176178831.9272","byte/s","True","13","16","0x0000000000000001;0x0000000000000000"
