"target_frequency_mhz","achieved_frequency_avg","achieved_frequency_min","achieved_frequency_max","memory_clock_avg_mhz","memory_clock_min_mhz","memory_clock_max_mhz","lock_held","lock_miss_mhz","lock_miss_direction","power_avg_w","power_min_w","power_max_w","temperature_avg_c","temperature_max_c","utilization_avg_pct","power_avg_process_w","power_window_applied","workload_seconds","bench_seconds","bench_wall_seconds","bench_monitoring_s","bench_throughput","bench_throughput_unit","bench_ok","samples","samples_process","throttle_masks_seen"
"1237","1235.4","1230","1237","16301","16301","16301","True","-1.6","none","73.89","6.42","83.89","45.3","46","94.3","64.6","True","11.359","8.9237","9.0816","0.1578","1917039852759.5256","FLOP/s","True","17","21","0x0000000000000001;0x0000000000000000"
"1395","1393","1387","1395","16301","16301","16301","True","-2","none","78.28","7.06","88.27","45.4","46","95.6","66.93","True","10.273","8.3005","8.4221","0.1216","2060990845711.4236","FLOP/s","True","16","19","0x0000000000000001;0x0000000000000004;0x0000000000000000"
"1545","1537","1537","1537","15194.5","810","16301","True","-8","none","83.13","6.77","93.37","45.8","47","92.4","71.11","True","9.733","7.7273","7.8397","0.1124","2213855363119.304","FLOP/s","True","14","18","0x0000000000000001;0x0000000000000004"
"1702","1695","1695","1695","16315.3","16301","16501","True","-7","none","88.94","7.24","102.57","47.1","49","93.1","74.53","True","9.208","7.2546","7.3561","0.1015","2358121842998.7803","FLOP/s","True","14","17","0x0000000000000001;0x0000000000000000"
"1852","1845","1845","1845","16301","16301","16301","True","-7","none","101.76","16.67","115.31","49","50","96.1","85.35","True","9.212","6.927","7.0338","0.1068","2469651862759.125","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2010","2002","2002","2002","16301","16301","16301","True","-8","none","106.94","8.73","124.64","49.9","52","94.2","90.33","True","9.215","6.9389","7.0608","0.1218","2465383057260.828","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2167","2145.5","2145","2152","16301","16301","16301","True","-21.5","none","109.2","23.3","124.85","50.6","52","94.9","92.19","True","9.195","6.943","7.0627","0.1197","2463953178887.7466","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2317","2276.3","2272","2280","16301","16301","16301","False","-40.7","below","108.15","9.62","125.61","50.8","53","94.4","91.75","True","9.191","6.9451","7.0488","0.1037","2463186618422.103","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2475","2443.1","2437","2460","15109.4","810","16301","False","-31.9","below","111.24","8.44","127.43","51.2","53","91.7","92.93","True","9.2","6.9422","7.0473","0.1051","2464239355526.422","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2625","2567.2","2557","2602","16301","16301","16301","False","-57.8","below","111.14","11.21","128.01","51.5","53","94.2","92.08","True","8.684","6.9446","7.0468","0.1021","2463370986441.246","FLOP/s","True","13","16","0x0000000000000001;0x0000000000000000"
"2782","2768.2","2767","2775","15109.4","810","16301","True","-13.8","none","111.53","10.15","130.48","51.7","53","92.1","94.07","True","9.222","6.9385","7.0456","0.1071","2465556454174.7676","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"2932","2925","2925","2925","16301","16301","16301","True","-7","none","120.41","10.2","140.47","53.2","55","92.5","102.14","True","9.188","6.9317","7.0358","0.1041","2467947445529.0034","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
"3090","3015.5","3015","3022","15109.4","810","16301","False","-74.5","below","127.4","10.29","147.33","54.2","56","92.3","107.78","True","9.175","6.9311","7.0345","0.1034","2468176896502.768","FLOP/s","True","13","17","0x0000000000000001;0x0000000000000000"
